,CEI
1950-05-01,-3.6628420169174136
1950-06-01,-3.9119117508749977
1950-07-01,-4.053125704146572
1950-08-01,-4.11961218206583
1950-09-01,-3.0508324163179026
1950-10-01,-2.662927060319547
1950-11-01,-2.522753384903492
1950-12-01,-3.210284155379725
1951-01-01,-3.204463655057081
1951-02-01,-3.1349179267379883
1951-03-01,-2.231990569701975
1951-04-01,-1.4710033660223996
1951-05-01,-0.6682658514796276
1951-06-01,-0.5827792566854676
1951-07-01,0.11112403538564788
1951-08-01,0.007301685893500748
1951-09-01,0.7647293058449325
1951-10-01,0.800401830330381
1951-11-01,1.130192506769262
1951-12-01,0.9490324689092265
1952-01-01,0.9974739770409904
1952-02-01,0.941361802390366
1952-03-01,0.5586253159043019
1952-04-01,0.29165824727091194
1952-05-01,-0.3273631724303398
1952-06-01,-0.7488400086992951
1952-07-01,-1.2391404762204474
1952-08-01,-0.978436905416551
1952-09-01,-0.5144627910230732
1952-10-01,-0.5424665391918427
1952-11-01,-0.6070454562519729
1952-12-01,-0.22097504516521654
1953-01-01,-0.02270545795220752
1953-02-01,0.22215502323706082
1953-03-01,0.015612388010043735
1953-04-01,0.2726091714433292
1953-05-01,1.4308914928381646
1953-06-01,1.3889905179843811
1953-07-01,1.4693388298227414
1953-08-01,0.8480229633616181
1953-09-01,1.3768783891352865
1953-10-01,1.2571593296166597
1953-11-01,0.7427414240844472
1953-12-01,0.44121189861077814
1954-01-01,0.3505815309782355
1954-02-01,0.33199540523204685
1954-03-01,-0.03544468457167871
1954-04-01,-0.418070354143544
1954-05-01,-1.0283548482769116
1954-06-01,-1.300864028442176
1954-07-01,-1.5415553323802733
1954-08-01,-2.006500372343401
1954-09-01,-2.195499734388026
1954-10-01,-2.2821210506726275
1954-11-01,-1.9748118059002946
1954-12-01,-2.347339246811224
1955-01-01,-1.9529620149431566
1955-02-01,-2.179820257432306
1955-03-01,-1.8470804693442555
1955-04-01,-2.035329291332654
1955-05-01,-2.101474703146125
1955-06-01,-2.6766996959817497
1955-07-01,-3.5097083000287803
1955-08-01,-3.631876813922519
1955-09-01,-3.4233767910164397
1955-10-01,-3.465707921595463
1955-11-01,-3.630951161791928
1955-12-01,-3.697996858944812
1956-01-01,-3.4694484817280857
1956-02-01,-3.274105540499485
1956-03-01,-3.04594705624726
1956-04-01,-2.6967253048262023
1956-05-01,-2.754076588232536
1956-06-01,-2.8180868893078994
1956-07-01,-2.95791823979312
1956-08-01,-2.7739353904821544
1956-09-01,-2.1745404416303318
1956-10-01,-2.385471264423843
1956-11-01,-1.9909313135604836
1956-12-01,-2.3466672540893003
1957-01-01,-1.6904038155580312
1957-02-01,-1.4287073535398085
1957-03-01,-0.8851306095364866
1957-04-01,-0.4321129981267302
1957-05-01,0.2731285223137251
1957-06-01,0.6236304841487603
1957-07-01,0.9549484374433572
1957-08-01,1.0006520913942338
1957-09-01,1.498842865429285
1957-10-01,1.5685577098686192
1957-11-01,1.7988483782438949
1957-12-01,1.6042276782690714
1958-01-01,2.3845869853270543
1958-02-01,2.309655363626831
1958-03-01,2.173377250541241
1958-04-01,1.3920293363005674
1958-05-01,1.2299622039111309
1958-06-01,0.8370892955175433
1958-07-01,0.5123549940472618
1958-08-01,-0.3251198113555101
1958-09-01,-0.24914728404867556
1958-10-01,-0.2771950055682887
1958-11-01,0.22783041764783882
1958-12-01,0.3038680131349658
1959-01-01,0.6893768545715848
1959-02-01,1.0737883520877867
1959-03-01,0.5274016446236731
1959-04-01,0.06314646469527496
1959-05-01,-0.5743097231169204
1959-06-01,-0.2211084737416536
1959-07-01,-0.1415024939468119
1959-08-01,-0.07368217599603644
1959-09-01,-0.40462496903214273
1959-10-01,-0.8481194715423481
1959-11-01,-1.3857751546402068
