,Year,Month,soi3m,nino5m,CEI,category,code
1950-05-01,1950,5,1.7347998090835717,-1.9280422078337736,-3.6628420169173452,CEI NINA,-3.0
1950-06-01,1950,6,2.189921861090621,-1.721989889784323,-3.9119117508749444,CEI NINA,-3.0
1950-07-01,1950,7,2.518663918661891,-1.5344617854845366,-4.053125704146428,CEI NINA,-3.0
1950-08-01,1950,8,2.6822645724944634,-1.4373476095714062,-4.11961218206587,CEI NINA,-3.0
1950-09-01,1950,9,1.7180874946010076,-1.3327449217169225,-3.05083241631793,CEI NINA,-3.0
1950-10-01,1950,10,1.4836572201796943,-1.1792698401399213,-2.662927060319616,CEI NINA,-3.0
1950-11-01,1950,11,1.337177429444524,-1.185575955458956,-2.52275338490348,CEI NINA,-3.0
1950-12-01,1950,12,1.9342942715340978,-1.275989883845611,-3.210284155379709,CEI NINA,-3.0
1951-01-01,1951,1,1.843735346611976,-1.3607283084451383,-3.204463655057114,CEI NINA,-3.0
1951-02-01,1951,2,1.7637057015749886,-1.371212225163033,-3.1349179267380216,CEI NINA,-3.0
1951-03-01,1951,3,1.0140957732329974,-1.2178947964690114,-2.231990569702009,CEI NINA,-3.0
1951-04-01,1951,4,0.496209315102194,-0.974794050920239,-1.4710033660224329,NINO3.4 NINA,-1.0
1951-05-01,1951,5,0.019576788994883684,-0.6486890624846751,-0.6682658514795587,NINO3.4 NINA,-1.0
1951-06-01,1951,6,0.2773005204391871,-0.30547873624622646,-0.5827792566854135,Neutral,0.0
1951-07-01,1951,7,-0.0729983131861318,0.03812572219966063,0.11112403538579244,Neutral,0.0
1951-08-01,1951,8,0.15395093791034675,0.16125262380380861,0.007301685893461862,Neutral,0.0
1951-09-01,1951,9,-0.45394292253849167,0.3107863833064134,0.7647293058449051,Neutral,0.0
1951-10-01,1951,10,-0.39053061007357087,0.40987122025674194,0.8004018303303129,Neutral,0.0
1951-11-01,1951,11,-0.6060229463550347,0.5241695604142402,1.130192506769275,NINO3.4 NINO,1.0
1951-12-01,1951,12,-0.4419682462978839,0.5070642226113595,0.9490324689092434,NINO3.4 NINO,1.0
1952-01-01,1952,1,-0.5065691749346257,0.4909048021063319,0.9974739770409576,Neutral,0.0
1952-02-01,1952,2,-0.5697214062552401,0.37164039613509303,0.9413618023903332,Neutral,0.0
1952-03-01,1952,3,-0.32690185341025113,0.23172346249401735,0.5586253159042684,Neutral,0.0
1952-04-01,1952,4,-0.18574178539159952,0.10591646187927901,0.2916582472708785,Neutral,0.0
1952-05-01,1952,5,0.34554580493348214,0.018182632503211053,-0.3273631724302711,Neutral,0.0
1952-06-01,1952,6,0.6420039050025975,-0.10683610369664368,-0.7488400086992412,Neutral,0.0
1952-07-01,1952,7,0.9793022495955901,-0.2598382266247132,-1.2391404762203033,Neutral,0.0
1952-08-01,1952,8,0.6076110491768731,-0.37082585623971687,-0.97843690541659,Neutral,0.0
1952-09-01,1952,9,0.03540823062045786,-0.47905456040264305,-0.5144627910231009,Neutral,0.0
1952-10-01,1952,10,-0.02905143707607135,-0.5715179762679825,-0.5424665391919111,NINO3.4 NINA,-1.0
1952-11-01,1952,11,-0.03462805294027893,-0.6416735091922391,-0.6070454562519602,NINO3.4 NINA,-1.0
1952-12-01,1952,12,-0.3503064517783179,-0.5712814969435176,-0.22097504516519972,NINO3.4 NINA,-1.0
1953-01-01,1953,1,-0.3779167931699126,-0.40062225112215294,-0.022705457952240327,Neutral,0.0
1953-02-01,1953,2,-0.4748200436863376,-0.25266502044930955,0.22215502323702807,Neutral,0.0
1953-03-01,1953,3,-0.0913120473189189,-0.07569965930890867,0.015612388010010234,Neutral,0.0
1953-04-01,1953,4,-0.10284329195879456,0.16976587948450111,0.27260917144329566,Neutral,0.0
1953-05-01,1953,5,-1.0674490466178908,0.36344244622034255,1.4308914928382332,SOI NINO,2.0
1953-06-01,1953,6,-0.9448297956804499,0.4441607223039854,1.3889905179844353,Neutral,0.0
1953-07-01,1953,7,-1.0268334627901459,0.4425053670327402,1.469338829822886,SOI NINO,2.0
1953-08-01,1953,8,-0.4597501880725327,0.3882727752890463,0.848022963361579,Neutral,0.0
1953-09-01,1953,9,-0.9998777949789844,0.3770005941562746,1.3768783891352592,Neutral,0.0
1953-10-01,1953,10,-0.9442446323900021,0.3129146972265892,1.2571593296165913,Neutral,0.0
