time,WEST,EAST,IOD
1854-01-01,-0.46430808,-1.9741135,1.5098054
1854-02-01,0.107328646,-0.736942,0.84427065
1854-03-01,1.3253262,-0.7138659,2.0391922
1854-04-01,1.4795172,-0.5112864,1.9908036
1854-05-01,1.8079401,-0.3385318,2.146472
1854-06-01,0.5646333,0.4673952,0.09723812
1854-07-01,-0.51781905,0.12478328,-0.6426023
1854-08-01,-0.6163716,0.33102867,-0.9474002
1854-09-01,-0.13838652,0.9296358,-1.0680224
1854-10-01,0.69077307,2.342208,-1.6514349
1854-11-01,0.55859774,2.435543,-1.8769453
1854-12-01,1.0212787,1.1333886,-0.1121099
1855-01-01,1.3106191,-0.10772398,1.4183431
1855-02-01,0.9177471,-0.13582495,1.053572
1855-03-01,0.61681205,1.1381255,-0.5213135
1855-04-01,1.194282,0.28853512,0.90574694
1855-05-01,1.2516037,-0.3760853,1.627689
1855-06-01,1.2641332,-0.41941813,1.6835513
1855-07-01,1.1763157,-0.72785985,1.9041755
1855-08-01,0.7860936,-1.0633776,1.8494712
1855-09-01,1.4694297,-0.20957273,1.6790025
1855-10-01,0.7287527,0.3437141,0.38503858
1855-11-01,1.1016891,0.22220863,0.8794805
1855-12-01,0.5717296,0.7067168,-0.13498718
1856-01-01,0.07831674,1.1173458,-1.0390291
1856-02-01,1.2214783,0.6309617,0.5905166
1856-03-01,0.88179415,0.77961475,0.10217941
1856-04-01,0.6446407,0.93029875,-0.28565806
1856-05-01,0.29484364,1.3855574,-1.0907137
1856-06-01,-0.6761534,0.700014,-1.3761674
1856-07-01,-0.03170249,0.16282791,-0.1945304
1856-08-01,-0.056682587,0.8981717,-0.9548543
1856-09-01,-0.79788923,2.4278028,-3.225692
1856-10-01,-0.91089183,1.599358,-2.5102499
1856-11-01,-0.45741802,0.23166357,-0.6890816
1856-12-01,0.3093125,0.54955435,-0.24024186
1857-01-01,0.43026164,0.34300706,0.087254584
1857-02-01,-0.11518848,-1.0724722,0.95728374
1857-03-01,0.38226792,-1.3443301,1.726598
1857-04-01,0.26887158,-1.0909228,1.3597944
1857-05-01,0.6333856,-1.4284824,2.061868
1857-06-01,0.59796095,-0.63682514,1.234786
1857-07-01,0.5898017,-0.8567115,1.4465132
1857-08-01,-0.73050845,-0.960961,0.23045254
1857-09-01,-1.284019,-0.21917512,-1.0648439
1857-10-01,-0.99323905,0.5368014,-1.5300405
1857-11-01,-0.66012895,0.34289035,-1.0030193
1857-12-01,-0.6804072,0.12491567,-0.8053229
1858-01-01,-1.6969594,0.13645509,-1.8334144
1858-02-01,-0.5481216,-0.14850649,-0.39961508
1858-03-01,-0.36838925,-0.5131278,0.14473855
1858-04-01,-1.4163387,-0.7653117,-0.65102696
1858-05-01,-1.7432392,-0.8763928,-0.8668464
1858-06-01,-1.7799808,-0.2905511,-1.4894297
1858-07-01,-0.34626418,0.40250182,-0.748766
1858-08-01,-0.0619016,1.1063161,-1.1682177
1858-09-01,0.6610442,1.4925555,-0.8315113
1858-10-01,-0.079239964,1.2571927,-1.3364327
1858-11-01,1.8769637,1.0859095,0.79105425
1858-12-01,2.2011876,0.9868696,1.214318
1859-01-01,1.450278,0.90865326,0.5416248
1859-02-01,0.17122124,0.5463962,-0.37517494
1859-03-01,0.23855303,0.745562,-0.50700897
1859-04-01,0.09018858,1.1744807,-1.084292
1859-05-01,-0.36749104,1.2623684,-1.6298594
1859-06-01,-0.5245253,0.09649071,-0.621016
1859-07-01,-0.47813162,0.8500659,-1.3281975
1859-08-01,-0.45435792,0.95703286,-1.4113908
1859-09-01,-0.26801112,0.88238966,-1.1504008
1859-10-01,-0.4230279,1.0141857,-1.4372135
1859-11-01,0.95475733,1.0974884,-0.14273107
1859-12-01,2.0422826,-0.08915863,2.131441
1860-01-01,3.03749,0.2104739,2.8270159
1860-02-01,2.294001,-0.8971173,3.1911185
1860-03-01,0.921499,1.436754,-0.515255
1860-04-01,0.8158258,0.936086,-0.12026018
1860-05-01,0.14775643,0.36954567,-0.22178924
1860-06-01,0.2289389,0.5566842,-0.3277453
1860-07-01,0.16414556,0.8648166,-0.7006711
1860-08-01,1.0468502,0.68870676,0.35814345
1860-09-01,0.80688536,1.101178,-0.2942927
