time,WEST,EAST,IOD
2000-01-01,0.8007426,0.78305596,0.017686665
2000-02-01,0.827333,-0.2639887,1.0913217
2000-03-01,0.9032719,-0.770818,1.6740899
2000-04-01,0.4806215,0.083926335,0.39669514
2000-05-01,0.7047803,0.013063033,0.69171727
2000-06-01,0.0718827,-0.14967526,0.22155797
2000-07-01,0.6602053,0.44526818,0.21493712
2000-08-01,1.0275644,1.1588397,-0.1312753
2000-09-01,1.399183,1.1238328,0.2753502
2000-10-01,0.96140677,0.96304727,-0.0016404986
2000-11-01,1.0437124,0.80246514,0.24124724
2000-12-01,0.7266415,0.31431293,0.41232854
2001-01-01,0.23572658,-0.05448164,0.29020822
2001-02-01,0.49973446,-0.39210072,0.8918352
2001-03-01,1.1701908,0.24140656,0.92878425
2001-04-01,1.0097059,1.0487752,-0.039069295
2001-05-01,1.0895036,1.8415719,-0.7520683
2001-06-01,1.0210915,1.1726569,-0.15156543
2001-07-01,0.40445393,1.9923254,-1.5878716
2001-08-01,0.71150935,1.371484,-0.6599747
2001-09-01,0.69972,1.4883788,-0.78865874
2001-10-01,0.38705814,1.3150539,-0.9279958
2001-11-01,0.66474324,0.8376793,-0.17293608
2001-12-01,1.0911995,0.9994299,0.091769636
2002-01-01,0.8835804,1.5189977,-0.6354173
2002-02-01,1.131,0.7296904,0.40130967
2002-03-01,1.1627012,1.9693696,-0.8066684
2002-04-01,0.89934874,1.8230081,-0.9236593
2002-05-01,0.48230413,1.5967636,-1.1144595
2002-06-01,0.747053,1.2205755,-0.47352242
2002-07-01,0.845403,1.3804519,-0.5350489
2002-08-01,0.6887964,1.3152599,-0.62646353
2002-09-01,1.9879966,0.52246636,1.4655302
2002-10-01,1.4484111,-0.11818962,1.5666007
2002-11-01,1.1965598,0.5134203,0.6831395
2002-12-01,1.4781951,2.0173998,-0.5392047
2003-01-01,1.3159628,2.1383493,-0.8223865
2003-02-01,1.951489,1.629081,0.32240796
2003-03-01,1.7274933,1.0970964,0.63039684
2003-04-01,1.8036828,1.6325439,0.17113888
2003-05-01,1.7383524,1.1702479,0.5681045
2003-06-01,1.5865364,0.69653577,0.89000064
2003-07-01,1.1497117,0.46497187,0.6847398
2003-08-01,1.073197,0.0296901,1.0435069
2003-09-01,1.334078,1.1036427,0.23043525
2003-10-01,0.9778615,0.8733165,0.104545
2003-11-01,0.64634013,0.9921158,-0.34577566
2003-12-01,0.70205367,0.36166057,0.3403931
2004-01-01,1.366326,1.369358,-0.003031969
2004-02-01,1.3277906,1.2293863,0.09840429
2004-03-01,1.008422,0.6023761,0.4060459
2004-04-01,1.1303232,1.1197858,0.010537386
2004-05-01,-0.19118595,0.8697848,-1.0609708
2004-06-01,-0.06459633,0.7948075,-0.85940385
2004-07-01,0.15965104,0.7390328,-0.57938176
2004-08-01,1.1307583,0.8325467,0.29821157
2004-09-01,1.2393817,0.64596,0.5934217
2004-10-01,1.2291895,0.6822428,0.5469467
2004-11-01,1.0499375,0.91915214,0.13078535
2004-12-01,0.9954547,1.1459146,-0.15045983
2005-01-01,0.85719675,1.4593686,-0.60217184
2005-02-01,0.9077066,2.6342788,-1.7265722
2005-03-01,1.144858,2.5630713,-1.4182132
2005-04-01,1.3416338,1.0443788,0.29725504
2005-05-01,1.5132072,1.2287352,0.284472
2005-06-01,1.3483435,1.6316257,-0.28328216
2005-07-01,0.591065,1.6879122,-1.0968473
2005-08-01,0.9726471,1.7389944,-0.7663473
2005-09-01,0.87334085,1.9748011,-1.1014602
2005-10-01,0.78017586,1.7494522,-0.96927637
2005-11-01,0.49147645,1.6233774,-1.131901
2005-12-01,0.34051847,1.2278768,-0.8873583
2006-01-01,0.42786634,0.5579006,-0.13003427
2006-02-01,0.4797117,1.8972884,-1.4175768
2006-03-01,0.79180944,1.2127683,-0.42095888
2006-04-01,0.7365103,0.81677806,-0.08026779
2006-05-01,1.061649,1.4916419,-0.4299929
2006-06-01,0.83671397,1.2612138,-0.4244998
2006-07-01,0.9143042,0.51861423,0.39568996
2006-08-01,1.4982847,0.6630323,0.8352524
2006-09-01,1.2760353,-0.67336845,1.9494038
2006-10-01,1.5679373,-0.83971,2.4076471
2006-11-01,1.8072014,-0.17886436,1.9860657
2006-12-01,1.8199916,0.95004517,0.8699464
2007-01-01,1.6703522,1.2281764,0.44217587
2007-02-01,1.5310534,1.9286335,-0.39758003
2007-03-01,1.3438678,0.87112916,0.47273862
2007-04-01,1.3890188,1.0269492,0.3620696
2007-05-01,1.729546,0.79748756,0.9320584
2007-06-01,1.8745005,1.1663038,0.70819676
2007-07-01,1.5475049,0.8576155,0.68988943
2007-08-01,1.6925617,0.7058115,0.98675025
2007-09-01,1.4154706,0.21444315,1.2010274
2007-10-01,1.0694729,0.51536614,0.5541068
2007-11-01,0.6568394,0.7178007,-0.060961306
2007-12-01,0.5926018,1.0365703,-0.44396853
2008-01-01,0.99053705,0.96208644,0.028450608
2008-02-01,0.26932845,0.10357241,0.16575603
2008-03-01,-0.065669544,-0.35590532,0.2902358
2008-04-01,-0.23893948,0.31954893,-0.5584884
2008-05-01,0.20153576,-0.27842042,0.47995618
2008-06-01,0.7389477,-0.45124853,1.1901963
2008-07-01,0.9881096,-0.70897144,1.6970811
2008-08-01,1.0546368,-0.05230319,1.10694
2008-09-01,1.1588372,0.6397128,0.5191244
2008-10-01,1.0676934,0.46504036,0.602653
2008-11-01,0.82627875,0.85334635,-0.027067602
2008-12-01,0.55557257,0.9541162,-0.39854366
2009-01-01,0.8216856,0.99666256,-0.17497694
2009-02-01,1.178593,0.46743304,0.71116
2009-03-01,1.684456,0.8008941,0.8835619
2009-04-01,1.0308868,1.1078092,-0.07692242
2009-05-01,1.4429741,1.7070407,-0.26406658
2009-06-01,1.979448,1.9636766,0.015771389
2009-07-01,1.2960376,2.4582298,-1.1621922
2009-08-01,1.6810633,2.1859107,-0.5048474
2009-09-01,1.7044617,1.6201634,0.08429825
2009-10-01,1.9098369,1.6909375,0.21889937
2009-11-01,1.3644329,1.6739163,-0.3094834
2009-12-01,1.9793873,1.6798527,0.29953456
2010-01-01,2.0283363,1.2397186,0.78861773
2010-02-01,2.33112,2.133163,0.19795704
2010-03-01,2.4325078,1.805655,0.62685275
2010-04-01,2.4008245,1.6150784,0.7857461
2010-05-01,1.7610751,2.2350245,-0.4739493
2010-06-01,1.7689763,2.1058428,-0.3368665
2010-07-01,1.4692373,1.9326466,-0.4634093
2010-08-01,1.1581959,1.7644447,-0.60624886
2010-09-01,0.79685205,2.920758,-2.123906
2010-10-01,0.3826996,2.1567814,-1.7740818
2010-11-01,-0.06524215,1.8156915,-1.8809336
2010-12-01,0.08477284,0.8062902,-0.7215174
2011-01-01,0.14677836,0.16267644,-0.015898079
2011-02-01,0.37061325,0.34979996,0.020813286
2011-03-01,0.719136,0.19369863,0.52543736
2011-04-01,0.590448,0.4986404,0.09180763
2011-05-01,0.83095944,0.9633121,-0.13235265
2011-06-01,1.2888736,1.0268543,0.26201928
2011-07-01,1.2458738,1.2649628,-0.019088984
2011-08-01,1.4752809,1.2194511,0.2558298
2011-09-01,1.3886495,0.18722707,1.2014225
2011-10-01,1.747048,0.2746693,1.4723787
2011-11-01,1.5875404,1.2743524,0.31318796
2011-12-01,1.6942866,1.4629654,0.23132122
2012-01-01,1.1383152,0.8921782,0.24613702
2012-02-01,0.7156872,0.8409515,-0.12526429
2012-03-01,0.27794576,-0.22948153,0.5074273
2012-04-01,0.67074054,1.5547078,-0.8839672
2012-05-01,1.0250821,2.4458537,-1.4207716
2012-06-01,1.3131799,1.2765131,0.03666675
2012-07-01,1.346766,0.2874192,1.0593468
2012-08-01,2.0911155,0.18402025,1.9070952
2012-09-01,1.9785275,0.45184824,1.5266793
2012-10-01,1.8442061,0.7584339,1.0857723
2012-11-01,1.5927093,1.3512619,0.24144745
2012-12-01,1.8905498,1.7215408,0.16900897
2013-01-01,1.5297911,1.4730512,0.056739926
2013-02-01,1.361707,1.6396227,-0.27791572
2013-03-01,1.6693891,1.7290316,-0.059642434
2013-04-01,1.3396279,1.6815189,-0.34189105
2013-05-01,0.57595307,1.8718494,-1.2958963
2013-06-01,0.3706517,1.3465862,-0.9759345
2013-07-01,0.67163783,1.4496583,-0.77802044
2013-08-01,0.85852754,1.1207337,-0.2622062
2013-09-01,0.99629,1.253037,-0.25674695
2013-10-01,1.6168928,1.614309,0.0025838614
2013-11-01,1.9446992,1.8875871,0.057112098
2013-12-01,1.1747432,1.5762968,-0.40155363
2014-01-01,0.9713596,1.2640363,-0.2926767
2014-02-01,0.89511216,1.0155841,-0.120471954
2014-03-01,1.0105603,1.8536426,-0.8430823
2014-04-01,1.2094716,1.6484523,-0.4389807
2014-05-01,1.6390146,1.8460093,-0.20699465
2014-06-01,1.4544704,1.886152,-0.43168163
2014-07-01,1.0786903,1.9214278,-0.84273756
2014-08-01,1.0914254,2.0457635,-0.9543381
2014-09-01,1.3212231,1.9515367,-0.6303135
2014-10-01,1.8792444,1.4321814,0.4470631
2014-11-01,1.8533243,1.4909412,0.36238313
2014-12-01,1.4186391,1.8117828,-0.39314377
