time,WEST,EAST,IOD
1854-01-01,-0.46483323,-1.9747312,1.509898
1854-02-01,0.10677165,-0.73732203,0.8440937
1854-03-01,1.3247014,-0.71424145,2.0389428
1854-04-01,1.4788836,-0.511623,1.9905066
1854-05-01,1.8072883,-0.33883527,2.1461236
1854-06-01,0.5640508,0.4672465,0.09680429
1854-07-01,-0.5183412,0.12456878,-0.64290994
1854-08-01,-0.6168883,0.33085376,-0.94774204
1854-09-01,-0.13892983,0.92957586,-1.0685056
1854-10-01,0.6901836,2.3424191,-1.6522355
1854-11-01,0.5580156,2.4357724,-1.8777568
1854-12-01,1.0206708,1.1333679,-0.112697124
1855-01-01,1.3099949,-0.107983135,1.417978
1855-02-01,0.91714495,-0.13608949,1.0532345
1855-03-01,0.6162267,1.1381056,-0.52187896
1855-04-01,1.1936643,0.28835207,0.90531224
1855-05-01,1.250983,-0.376396,1.627379
1855-06-01,1.2635118,-0.41973716,1.683249
1855-07-01,1.1756992,-0.7282381,1.9039373
1855-08-01,0.7854988,-1.0638202,1.849319
1855-09-01,1.4687968,-0.20985144,1.6786482
1855-10-01,0.72816104,0.34354162,0.3846194
1855-11-01,1.1010768,0.22201286,0.87906396
1855-12-01,0.5711467,0.7066141,-0.13546735
1856-01-01,0.07776136,1.117322,-1.0395606
1856-02-01,1.2208593,0.6308445,0.5900148
1856-03-01,0.881194,0.779526,0.101668
1856-04-01,0.64405376,0.93023896,-0.2861852
1856-05-01,0.29427618,1.385585,-1.0913088
1856-06-01,-0.67666674,0.6999099,-1.3765767
1856-07-01,-0.032251738,0.16262072,-0.19487247
1856-08-01,-0.057230443,0.89810574,-0.9553362
1856-09-01,-0.7983958,2.4280305,-3.2264264
1856-10-01,-0.9113921,1.5994265,-2.5108185
1856-11-01,-0.45794353,0.2314696,-0.68941313
1856-12-01,0.30874425,0.5494214,-0.24067718
1857-01-01,0.42968667,0.34283447,0.08685219
1857-02-01,-0.11573308,-1.0729167,0.95718366
1857-03-01,0.38169563,-1.3448268,1.7265224
1857-04-01,0.2683056,-1.0913708,1.3596764
1857-05-01,0.63279927,-1.4289951,2.0617943
1857-06-01,0.59737664,-0.63718593,1.2345626
1857-07-01,0.58921784,-0.8571145,1.4463323
1857-08-01,-0.7310188,-0.96138406,0.23036528
1857-09-01,-1.2844985,-0.21945567,-1.0650427
1857-10-01,-0.9937347,0.53666604,-1.5304008
1857-11-01,-0.6606432,0.34271777,-1.003361
1857-12-01,-0.6809203,0.124701194,-0.8056215
1858-01-01,-1.6974158,0.13624284,-1.8336587
1858-02-01,-0.54864204,-0.14877348,-0.39986855
1858-03-01,-0.36891973,-0.5134648,0.14454508
1858-04-01,-1.4168108,-0.7656972,-0.65111357
1858-05-01,-1.7436931,-0.8767996,-0.86689353
1858-06-01,-1.7804326,-0.29084536,-1.4895872
1858-07-01,-0.34679592,0.40234068,-0.74913657
1858-08-01,-0.062449165,1.1062901,-1.1687393
1858-09-01,0.66045636,1.4926037,-0.8321473
1858-10-01,-0.07978657,1.2571958,-1.3369824
1858-11-01,1.8763082,1.0858797,0.7904285
1858-12-01,2.2005138,0.98682064,1.2136931
1859-01-01,1.4496462,0.90858936,0.5410569
1859-02-01,0.17066069,0.5462627,-0.375602
1859-03-01,0.23798873,0.74546677,-0.50747806
1859-04-01,0.08963254,1.1744678,-1.0848353
1859-05-01,-0.36802158,1.2623725,-1.6303941
1859-06-01,-0.52504706,0.09627078,-0.62131786
1859-07-01,-0.478656,0.8499907,-1.3286467
1859-08-01,-0.4548836,0.9569782,-1.4118618
1859-09-01,-0.2685472,0.88232064,-1.1508678
1859-10-01,-0.42355537,1.0141419,-1.4376973
1859-11-01,0.9541531,1.0974607,-0.14330763
1859-12-01,2.0416176,-0.08941422,2.1310318
1860-01-01,3.0367699,0.21027586,2.826494
1860-02-01,2.2933223,-0.89752805,3.1908503
1860-03-01,0.92089665,1.4367915,-0.5158949
1860-04-01,0.81522936,0.93602735,-0.12079799
1860-05-01,0.14719717,0.36937818,-0.222181
1860-06-01,0.22837514,0.55655265,-0.3281775
1860-07-01,0.1635854,0.86474425,-0.7011589
1860-08-01,1.046241,0.6886006,0.35764045
1860-09-01,0.80628943,1.1011511,-0.29486167
1860-10-01,0.16165125,0.37912,-0.21746874
1860-11-01,-0.58608454,-0.30660066,-0.27948388
1860-12-01,0.033829875,-0.32086208,0.35469195
1861-01-01,0.7090435,0.61383283,0.09521067
1861-02-01,1.1509386,-0.051303312,1.2022419
1861-03-01,1.0102532,-1.7398449,2.7500982
1861-04-01,0.34314176,-1.4789798,1.8221216
1861-05-01,0.16062808,-1.34283,1.503458
1861-06-01,-0.13180485,-0.33354497,0.20174012
1861-07-01,-0.21519707,0.6996441,-0.9148412
1861-08-01,0.78068006,1.2187437,-0.43806362
1861-09-01,1.0529846,0.22901303,0.82397157
1861-10-01,0.013033351,0.3375071,-0.32447374
1861-11-01,-0.0774731,-0.20914334,0.13167024
1861-12-01,0.010330888,0.20746875,-0.19713786
1862-01-01,-0.04165896,-0.038343873,-0.0033150874
1862-02-01,-0.29903236,-0.7359323,0.43689993
1862-03-01,0.04185476,-1.8636099,1.9054646
1862-04-01,0.77513516,-1.7218426,2.4969778
1862-05-01,0.23999941,-0.45127806,0.6912775
1862-06-01,0.086878255,-0.96991014,1.0567884
1862-07-01,-0.764909,-0.5077468,-0.2571622
1862-08-01,-0.6167858,-0.16732433,-0.4494615
1862-09-01,0.4870671,0.2771037,0.20996341
1862-10-01,0.23461945,0.4094769,-0.17485745
1862-11-01,0.48331523,0.094413266,0.38890195
1862-12-01,0.6276461,0.16759972,0.46004635
1863-01-01,0.7305582,-0.1627604,0.89331865
1863-02-01,0.61195016,-0.8749663,1.4869165
1863-03-01,0.22059672,-0.6837519,0.9043486
1863-04-01,-0.086123906,0.4127015,-0.4988254
1863-05-01,0.19923131,-0.022189362,0.22142068
1863-06-01,0.40733108,0.24219489,0.16513619
1863-07-01,-0.36635128,0.6673629,-1.0337142
1863-08-01,0.07855708,0.83792436,-0.7593673
1863-09-01,0.4386673,1.671186,-1.2325187
1863-10-01,0.67977476,1.2960709,-0.6162962
1863-11-01,0.44469053,1.535163,-1.0904725
1863-12-01,1.4374582,-0.9724333,2.4098916
1864-01-01,0.2765007,-0.74055064,1.0170513
1864-02-01,0.091368385,-1.1218814,1.2132498
1864-03-01,-0.8768574,-0.8319787,-0.04487872
1864-04-01,-1.4853157,-0.12995565,-1.35536
1864-05-01,-0.9411328,-0.40138602,-0.53974676
1864-06-01,0.20511873,-0.765536,0.9706547
1864-07-01,1.0243016,-0.6461205,1.6704221
1864-08-01,0.043814722,-1.0659058,1.1097206
1864-09-01,-0.73910576,-0.08451731,-0.65458846
1864-10-01,-0.8395243,-0.5740326,-0.26549172
1864-11-01,-0.8439947,-0.5072092,-0.3367855
1864-12-01,-0.60840994,0.11119001,-0.71959996
1865-01-01,0.53987944,0.4898519,0.05002755
1865-02-01,1.140449,0.93665355,0.2037955
1865-03-01,1.1497695,1.4140096,-0.26424003
1865-04-01,0.41723207,1.3349273,-0.9176953
1865-05-01,0.4058735,1.2696146,-0.86374104
1865-06-01,0.47461146,1.2246504,-0.7500389
1865-07-01,-0.28347576,0.49865356,-0.7821293
1865-08-01,-0.4327994,-0.06902368,-0.36377573
1865-09-01,-1.2505081,0.6026049,-1.8531129
1865-10-01,-0.4128748,-0.06574315,-0.34713164
1865-11-01,0.7386807,0.54892665,0.18975407
1865-12-01,2.0998192,0.4556944,1.6441247
1866-01-01,2.4547422,0.43262586,2.0221164
1866-02-01,3.9098907,0.017689342,3.8922014
1866-03-01,1.273174,0.8947719,0.37840217
1866-04-01,-0.37932643,0.0768089,-0.45613533
1866-05-01,0.45200595,-1.4230773,1.8750833
1866-06-01,0.017813388,-0.09944299,0.11725637
1866-07-01,1.3104692,1.8318437,-0.5213746
1866-08-01,1.1951717,0.9077754,0.2873963
1866-09-01,0.20445405,0.02191967,0.18253438
1866-10-01,0.66884595,-0.9300142,1.5988601
1866-11-01,0.26794922,0.2575903,0.01035893
1866-12-01,-0.31399554,0.08215061,-0.39614615
1867-01-01,0.061797667,1.180453,-1.1186553
1867-02-01,0.47439203,0.76309454,-0.28870252
1867-03-01,0.58442044,0.23682658,0.34759384
1867-04-01,0.03146871,-0.20608273,0.23755145
1867-05-01,-0.9323983,-0.51565355,-0.41674477
1867-06-01,-0.711668,-0.19072014,-0.5209479
1867-07-01,0.6829167,-0.8024884,1.4854051
1867-08-01,1.1772327,2.9137,-1.7364674
1867-09-01,1.7885053,2.5148308,-0.7263255
1867-10-01,0.19099975,0.9373345,-0.74633473
1867-11-01,0.51505065,0.3610439,0.15400675
1867-12-01,0.9710777,-0.1144888,1.0855665
1868-01-01,0.22264178,-0.26087973,0.48352152
1868-02-01,0.24166138,0.3501289,-0.108467504
1868-03-01,0.14882842,0.5157707,-0.36694226
1868-04-01,-0.34076938,0.8125229,-1.1532923
1868-05-01,0.37901217,0.789513,-0.41050082
1868-06-01,0.5053814,0.2078688,0.2975126
1868-07-01,-0.197047,0.45171997,-0.648767
1868-08-01,-0.12071202,1.022921,-1.143633
1868-09-01,-0.6997261,0.5830991,-1.2828252
1868-10-01,0.09413421,0.5150157,-0.4208815
1868-11-01,-0.34675193,0.44365624,-0.79040813
1868-12-01,0.4724148,0.50534874,-0.03293395
1869-01-01,-0.14048147,1.570094,-1.7105755
1869-02-01,-0.2213643,1.6008489,-1.8222132
1869-03-01,-0.7023553,1.2794359,-1.9817913
1869-04-01,-0.7289502,1.3863933,-2.1153436
