,Monthly SAM index from NCEP1 Z
1948-01-01,0.81009704
1948-02-01,1.5410206
1948-03-01,1.4807945
1948-04-01,0.88617903
1948-05-01,-0.26747558
1948-06-01,0.66023874
1948-07-01,1.9835925
1948-08-01,2.2004213
1948-09-01,1.2145202
1948-10-01,1.9456425
1948-11-01,1.8006306
1948-12-01,0.9107043
1949-01-01,2.8445833
1949-02-01,3.991027
1949-03-01,1.7197834
1949-04-01,0.10342545
1949-05-01,-0.19536914
1949-06-01,-0.63566047
1949-07-01,0.92293084
1949-08-01,0.24537343
1949-09-01,0.65787023
1949-10-01,0.7067415
1949-11-01,1.2817556
1949-12-01,2.5477583
1950-01-01,2.9408977
1950-02-01,1.9040031
1950-03-01,2.0342004
1950-04-01,1.5920874
1950-05-01,0.74773854
1950-06-01,0.73415685
1950-07-01,1.6621687
1950-08-01,1.3509924
1950-09-01,0.2660177
1950-10-01,0.8776248
1950-11-01,2.0986643
1950-12-01,0.36883125
1951-01-01,0.8661708
1951-02-01,1.4300724
1951-03-01,1.4871238
1951-04-01,2.3863378
1951-05-01,1.6321409
1951-06-01,1.7010391
1951-07-01,1.4342532
1951-08-01,1.5407215
1951-09-01,1.7113314
1951-10-01,1.9889761
1951-11-01,1.4204338
1951-12-01,1.611275
1952-01-01,2.3278673
1952-02-01,1.2694676
1952-03-01,1.5268484
1952-04-01,1.8820516
1952-05-01,1.1903932
1952-06-01,0.57805604
1952-07-01,0.5600053
1952-08-01,0.8953522
1952-09-01,1.4781644
1952-10-01,0.95786786
1952-11-01,2.2567062
1952-12-01,1.9007037
1953-01-01,1.8067424
1953-02-01,1.4506975
1953-03-01,1.1863412
1953-04-01,1.8992205
1953-05-01,1.2341577
1953-06-01,0.7760726
1953-07-01,1.4142647
1953-08-01,0.66542524
1953-09-01,0.4101858
1953-10-01,1.7701592
1953-11-01,0.6121667
1953-12-01,1.5736525
1954-01-01,0.72557586
1954-02-01,0.60655373
1954-03-01,2.9072752
1954-04-01,1.2116944
1954-05-01,0.019643977
1954-06-01,0.75587785
1954-07-01,0.87766016
1954-08-01,2.1006298
1954-09-01,0.019332552
1954-10-01,0.65550876
1954-11-01,-0.26912883
1954-12-01,1.6295757
1955-01-01,0.41690722
1955-02-01,0.6023748
1955-03-01,0.50127184
1955-04-01,0.8715147
1955-05-01,0.97715616
1955-06-01,0.77710235
1955-07-01,0.18515036
1955-08-01,2.3666155
1955-09-01,0.82115924
1955-10-01,2.4004316
1955-11-01,1.7353373
1955-12-01,1.0036403
1956-01-01,1.5709178
1956-02-01,1.5908368
1956-03-01,1.0804691
1956-04-01,1.5012215
1956-05-01,1.1591786
1956-06-01,-0.20510566
1956-07-01,1.4349717
1956-08-01,1.4077722
1956-09-01,2.1161385
1956-10-01,1.176008
1956-11-01,1.392964
1956-12-01,2.0489392
1957-01-01,0.92034256
1957-02-01,1.0901558
1957-03-01,0.5086591
1957-04-01,1.0060899
1957-05-01,0.75367963
1957-06-01,1.633008
1957-07-01,0.8565519
1957-08-01,1.0129453
1957-09-01,0.11478287
1957-10-01,1.5721365
1957-11-01,1.6165422
1957-12-01,1.202826
1958-01-01,-0.123702526
1958-02-01,0.07539743
1958-03-01,0.8887274
1958-04-01,1.0875214
1958-05-01,0.801161
1958-06-01,-0.03351567
1958-07-01,1.4510221
1958-08-01,0.077115096
1958-09-01,-0.44983602
1958-10-01,0.38606617
1958-11-01,-0.26751712
1958-12-01,-0.84451926
1959-01-01,-0.33706924
1959-02-01,0.1726337
1959-03-01,0.14849637
1959-04-01,1.1711338
1959-05-01,1.6671896
1959-06-01,0.82295656
1959-07-01,0.856308
1959-08-01,1.1065952
1959-09-01,-0.006015372
1959-10-01,0.8247133
1959-11-01,-0.6087476
1959-12-01,0.48483005
1960-01-01,-0.045008622
1960-02-01,0.013579392
1960-03-01,-0.34643683
1960-04-01,1.5419155
1960-05-01,1.6375313
1960-06-01,-0.015912836
1960-07-01,0.48863694
1960-08-01,1.2782847
1960-09-01,0.89623475
1960-10-01,0.11439397
1960-11-01,-0.112805665
1960-12-01,0.018615087
1961-01-01,0.2634349
1961-02-01,0.8962772
1961-03-01,0.6429457
1961-04-01,0.7224643
1961-05-01,0.96784276
1961-06-01,0.8112545
1961-07-01,0.6579815
1961-08-01,0.14605303
1961-09-01,0.94498545
1961-10-01,0.39793983
1961-11-01,-0.2666792
1961-12-01,-1.0612555
1962-01-01,-0.6619665
1962-02-01,0.79696196
1962-03-01,0.49140164
1962-04-01,-0.06388391
1962-05-01,0.5376418
1962-06-01,1.7358154
1962-07-01,-0.07279114
1962-08-01,0.25416037
1962-09-01,-0.14348122
1962-10-01,1.0285273
1962-11-01,1.0097705
1962-12-01,-0.56560993
1963-01-01,-0.42793208
1963-02-01,-0.47254887
1963-03-01,0.068836175
1963-04-01,1.1465126
1963-05-01,1.0122619
1963-06-01,1.0159804
1963-07-01,1.5417736
1963-08-01,2.9524336
1963-09-01,0.9866153
1963-10-01,0.052950338
1963-11-01,0.30655777
1963-12-01,0.05040366
1964-01-01,1.1789868
1964-02-01,1.4001049
1964-03-01,0.41368562
1964-04-01,0.7510667
