time,time,event_duration,event_start,event_end
1979-08-14,225,6,1979-08-14,1979-08-19
1979-12-01,334,9,1979-12-01,1979-12-09
1980-02-25,420,7,1980-02-25,1980-03-02
1980-03-14,438,16,1980-03-14,1980-03-29
1980-04-01,456,17,1980-04-01,1980-04-17
1980-06-01,517,7,1980-06-01,1980-06-07
1980-07-24,570,8,1980-07-24,1980-07-31
1980-09-10,618,8,1980-09-10,1980-09-17
1980-11-02,671,6,1980-11-02,1980-11-07
1980-11-14,683,15,1980-11-14,1980-11-28
1981-08-18,960,8,1981-08-18,1981-08-25
1981-09-04,977,8,1981-09-04,1981-09-11
1981-09-16,989,7,1981-09-16,1981-09-22
1981-09-27,1000,6,1981-09-27,1981-10-02
1982-07-09,1285,10,1982-07-09,1982-07-18
1982-08-18,1325,7,1982-08-18,1982-08-24
1982-10-03,1371,10,1982-10-03,1982-10-12
1982-11-21,1420,6,1982-11-21,1982-11-26
1982-12-11,1440,5,1982-12-11,1982-12-15
1983-01-18,1478,27,1983-01-18,1983-02-13
1983-06-18,1629,7,1983-06-18,1983-06-24
1984-01-02,1827,8,1984-01-02,1984-01-09
1984-04-06,1922,9,1984-04-06,1984-04-14
1984-04-30,1946,7,1984-04-30,1984-05-06
1984-09-27,2096,8,1984-09-27,1984-10-04
1986-04-03,2649,8,1986-04-03,1986-04-10
1986-05-01,2677,14,1986-05-01,1986-05-14
1986-06-02,2709,11,1986-06-02,1986-06-12
1986-07-24,2761,19,1986-07-24,1986-08-11
1986-09-06,2805,10,1986-09-06,1986-09-15
1986-11-08,2868,10,1986-11-08,1986-11-17
1987-02-19,2971,5,1987-02-19,1987-02-23
1987-03-14,2994,5,1987-03-14,1987-03-18
1987-06-19,3091,5,1987-06-19,1987-06-23
1987-07-02,3104,17,1987-07-02,1987-07-18
1987-09-06,3170,9,1987-09-06,1987-09-14
1987-09-21,3185,14,1987-09-21,1987-10-04
1988-01-16,3302,5,1988-01-16,1988-01-20
1988-02-23,3340,8,1988-02-23,1988-03-01
1988-03-18,3364,6,1988-03-18,1988-03-23
1988-03-29,3375,13,1988-03-29,1988-04-10
1988-06-26,3464,8,1988-06-26,1988-07-03
1988-08-14,3513,14,1988-08-14,1988-08-27
1989-09-01,3896,8,1989-09-01,1989-09-08
1990-04-05,4112,5,1990-04-05,1990-04-09
1990-04-15,4122,12,1990-04-15,1990-04-26
1991-05-14,4516,24,1991-05-14,1991-06-06
1991-06-10,4543,16,1991-06-10,1991-06-25
1991-07-23,4586,9,1991-07-23,1991-07-31
1991-09-27,4652,24,1991-09-27,1991-10-20
