time,time,event_duration,event_start,event_end
1948-04-11,101,12,1948-04-11,1948-04-22
1948-05-18,138,10,1948-05-18,1948-05-27
1948-05-31,151,9,1948-05-31,1948-06-08
1948-06-24,175,15,1948-06-24,1948-07-08
1948-09-08,251,6,1948-09-08,1948-09-13
1948-10-25,298,5,1948-10-25,1948-10-29
1948-11-18,322,15,1948-11-18,1948-12-02
1949-01-15,380,6,1949-01-15,1949-01-20
1949-04-10,465,8,1949-04-10,1949-04-17
1949-04-25,480,6,1949-04-25,1949-04-30
1949-08-14,591,13,1949-08-14,1949-08-26
1949-11-02,671,9,1949-11-02,1949-11-10
1950-08-31,973,5,1950-08-31,1950-09-04
1950-09-18,991,5,1950-09-18,1950-09-22
1951-02-06,1132,7,1951-02-06,1951-02-12
1951-03-28,1182,21,1951-03-28,1951-04-17
1951-04-26,1211,11,1951-04-26,1951-05-06
1951-05-08,1223,7,1951-05-08,1951-05-14
1951-05-28,1243,16,1951-05-28,1951-06-12
1951-07-20,1296,8,1951-07-20,1951-07-27
1951-08-03,1310,22,1951-08-03,1951-08-24
1951-11-11,1410,8,1951-11-11,1951-11-18
1952-03-24,1544,8,1952-03-24,1952-03-31
1952-04-23,1574,11,1952-04-23,1952-05-03
1952-05-18,1599,22,1952-05-18,1952-06-08
1952-07-05,1647,5,1952-07-05,1952-07-09
1952-08-09,1682,5,1952-08-09,1952-08-13
1952-08-25,1698,29,1952-08-25,1952-09-22
1952-11-04,1769,8,1952-11-04,1952-11-11
1952-11-17,1782,8,1952-11-17,1952-11-24
1953-01-23,1849,5,1953-01-23,1953-01-27
1953-02-07,1864,10,1953-02-07,1953-02-16
1953-05-13,1959,7,1953-05-13,1953-05-19
1953-05-31,1977,8,1953-05-31,1953-06-07
1953-06-16,1993,5,1953-06-16,1953-06-20
1953-06-24,2001,8,1953-06-24,1953-07-01
1953-07-06,2013,6,1953-07-06,1953-07-11
1953-07-20,2027,12,1953-07-20,1953-07-31
1953-08-12,2050,12,1953-08-12,1953-08-23
1953-10-10,2109,6,1953-10-10,1953-10-15
1953-11-07,2137,9,1953-11-07,1953-11-15
1953-11-20,2150,5,1953-11-20,1953-11-24
1954-03-10,2260,10,1954-03-10,1954-03-19
1954-03-29,2279,6,1954-03-29,1954-04-03
1954-04-13,2294,9,1954-04-13,1954-04-21
1954-05-06,2317,6,1954-05-06,1954-05-11
1954-06-11,2353,11,1954-06-11,1954-06-21
1954-10-11,2475,5,1954-10-11,1954-10-15
1954-10-18,2482,7,1954-10-18,1954-10-24
1954-11-14,2509,8,1954-11-14,1954-11-21
1955-08-07,2775,13,1955-08-07,1955-08-19
1955-10-12,2841,9,1955-10-12,1955-10-20
1955-11-10,2870,16,1955-11-10,1955-11-25
1956-04-14,3026,8,1956-04-14,1956-04-21
1956-06-15,3088,5,1956-06-15,1956-06-19
1956-08-11,3145,9,1956-08-11,1956-08-19
1956-08-25,3159,12,1956-08-25,1956-09-05
1956-10-01,3196,5,1956-10-01,1956-10-05
1956-10-11,3206,5,1956-10-11,1956-10-15
1956-10-22,3217,9,1956-10-22,1956-10-30
1956-11-01,3227,11,1956-11-01,1956-11-11
1956-12-24,3280,5,1956-12-24,1956-12-28
1957-01-02,3289,10,1957-01-02,1957-01-11
