,year,month,day,RMM1,RMM2,phase,lon,amplitude,amplitude**2
1981-01-01,1981,1,1,-0.3403,-0.6455,2,17.2,0.7297,0.5325
1981-01-02,1981,1,2,-0.0355,-0.6252,2,41.7,0.6262,0.3921
1981-01-03,1981,1,3,0.1693,-0.3299,3,72.2,0.3708,0.1375
1981-01-04,1981,1,4,0.2074,0.1467,5,170.3,0.2541,0.0645
1981-01-05,1981,1,5,0.3771,0.5382,6,190.0,0.6572,0.4319
1981-01-06,1981,1,6,0.4157,0.5519,6,188.0,0.691,0.4774
1981-01-07,1981,1,7,0.0511,0.5057,6,219.2,0.5083,0.2584
1981-01-08,1981,1,8,-0.0483,0.3849,7,232.1,0.388,0.1505
1981-01-09,1981,1,9,0.2388,0.4789,6,198.5,0.5352,0.2864
1981-01-10,1981,1,10,0.353,0.4444,6,186.5,0.5675,0.3221
1981-01-11,1981,1,11,0.3107,0.6032,6,197.8,0.6785,0.4604
1981-01-12,1981,1,12,0.126,0.8281,6,216.4,0.8376,0.7016
1981-01-13,1981,1,13,0.1869,1.03,6,214.7,1.0468,1.0958
1981-01-14,1981,1,14,0.2128,1.1714,6,214.7,1.1906,1.4175
1981-01-15,1981,1,15,0.0438,1.4008,6,223.2,1.4015,1.9641
1981-01-16,1981,1,16,-0.275,1.6201,7,234.6,1.6432,2.7003
1981-01-17,1981,1,17,-0.602,1.7376,7,244.1,1.8389,3.3817
1981-01-18,1981,1,18,-0.5752,1.8251,7,242.5,1.9136,3.6619
1981-01-19,1981,1,19,-0.6815,1.631,7,247.7,1.7676,3.1245
1981-01-20,1981,1,20,-1.0233,1.4646,7,259.9,1.7867,3.1921
1981-01-21,1981,1,21,-1.0426,1.1962,7,266.1,1.5868,2.5179
1981-01-22,1981,1,22,-0.7975,0.6646,8,275.2,1.0381,1.0778
1981-01-23,1981,1,23,-0.6718,0.2476,8,294.8,0.716,0.5126
1981-01-24,1981,1,24,-0.6562,0.0676,8,309.1,0.6597,0.4352
1981-01-25,1981,1,25,-0.5492,0.0842,8,306.3,0.5556,0.3087
1981-01-26,1981,1,26,-0.143,0.1539,7,267.9,0.2101,0.0441
1981-01-27,1981,1,27,-0.1405,0.2557,7,253.8,0.2918,0.0851
1981-01-28,1981,1,28,-0.2634,0.4857,7,253.5,0.5525,0.3053
1981-01-29,1981,1,29,-0.0074,0.5951,7,225.7,0.5951,0.3542
1981-01-30,1981,1,30,0.1411,0.4268,6,206.7,0.4495,0.2021
1981-01-31,1981,1,31,0.0309,0.233,6,217.4,0.235,0.0552
1981-02-01,1981,2,1,-0.0567,0.6612,7,229.9,0.6636,0.4404
1981-02-02,1981,2,2,0.0557,1.1034,6,222.1,1.1048,1.2206
1981-02-03,1981,2,3,0.1888,1.1607,6,215.8,1.1759,1.3828
1981-02-04,1981,2,4,-0.1768,1.2736,7,232.9,1.2858,1.6532
1981-02-05,1981,2,5,-0.615,1.2027,7,252.1,1.3508,1.8247
1981-02-06,1981,2,6,-0.7191,1.1416,7,257.2,1.3492,1.8203
1981-02-07,1981,2,7,-0.7191,0.9158,7,263.1,1.1644,1.3557
1981-02-08,1981,2,8,-0.4142,0.8724,7,250.4,0.9658,0.9327
1981-02-09,1981,2,9,-0.0913,0.981,7,230.3,0.9852,0.9707
1981-02-10,1981,2,10,0.2458,1.0464,6,211.8,1.0749,1.1554
1981-02-11,1981,2,11,0.3836,0.9997,6,204.0,1.0708,1.1467
1981-02-12,1981,2,12,0.5292,1.0503,6,198.3,1.1761,1.3832
1981-02-13,1981,2,13,0.5808,1.0775,6,196.7,1.224,1.4983
1981-02-14,1981,2,14,0.5299,1.1637,6,200.5,1.2786,1.6349
1981-02-15,1981,2,15,0.065,1.4021,6,222.3,1.4036,1.9702
1981-02-16,1981,2,16,-0.1705,1.5065,7,231.5,1.5161,2.2986
1981-02-17,1981,2,17,-0.6487,1.5146,7,248.2,1.6477,2.7149
1981-02-18,1981,2,18,-0.9824,1.4347,7,259.4,1.7389,3.0236
1981-02-19,1981,2,19,-1.2262,1.4429,7,265.4,1.8935,3.5854
1981-02-20,1981,2,20,-1.111,1.6221,7,259.4,1.966,3.8653
