,year,month,day,RMM1,RMM2,phase,lon,amplitude,amplitude**2
2022-10-01,2022,10,1,0.4124,-0.4794,3,85.7,0.6324,0.3999
2022-10-02,2022,10,2,0.4457,-0.583,3,82.4,0.7339,0.5386
2022-10-03,2022,10,3,0.2572,-0.4968,3,72.4,0.5594,0.313
2022-10-04,2022,10,4,0.1696,-0.3983,3,68.1,0.4329,0.1874
2022-10-05,2022,10,5,0.3577,-0.4748,3,82.0,0.5944,0.3533
2022-10-06,2022,10,6,0.4734,-0.1365,4,118.9,0.4927,0.2427
2022-10-07,2022,10,7,0.5463,0.162,5,151.5,0.5699,0.3247
2022-10-08,2022,10,8,0.4695,0.5446,6,184.2,0.719,0.517
2022-10-09,2022,10,9,0.4801,0.8228,6,194.7,0.9526,0.9075
2022-10-10,2022,10,10,0.5373,0.9836,6,196.4,1.1208,1.2561
2022-10-11,2022,10,11,0.753,1.1502,6,191.8,1.3748,1.89
2022-10-12,2022,10,12,0.8534,1.2777,6,191.3,1.5365,2.3609
2022-10-13,2022,10,13,0.8872,1.6446,6,196.7,1.8686,3.4917
2022-10-14,2022,10,14,0.5502,1.8121,6,208.1,1.8938,3.5866
2022-10-15,2022,10,15,0.1781,1.6164,6,218.7,1.6262,2.6446
2022-10-16,2022,10,16,-0.1678,1.4524,7,231.6,1.4621,2.1377
2022-10-17,2022,10,17,-0.235,1.3611,7,234.8,1.3812,1.9078
2022-10-18,2022,10,18,-0.1397,1.1721,7,231.8,1.1804,1.3934
2022-10-19,2022,10,19,-0.142,1.0738,7,232.5,1.0831,1.1732
2022-10-20,2022,10,20,-0.2375,1.2093,7,236.1,1.2324,1.5188
2022-10-21,2022,10,21,-0.3098,1.3709,7,237.7,1.4054,1.9752
2022-10-22,2022,10,22,-0.2786,1.4937,7,235.6,1.5195,2.3087
2022-10-23,2022,10,23,-0.1466,1.638,7,230.1,1.6445,2.7045
2022-10-24,2022,10,24,-0.2196,1.6314,7,232.7,1.6461,2.7098
2022-10-25,2022,10,25,-0.3886,1.6536,7,238.2,1.6987,2.8854
2022-10-26,2022,10,26,-0.2946,1.699,7,234.8,1.7244,2.9734
2022-10-27,2022,10,27,-0.0399,1.4978,7,226.5,1.4983,2.2449
2022-10-28,2022,10,28,-0.2242,1.1457,7,236.1,1.1674,1.3629
2022-10-29,2022,10,29,-0.3242,1.27,7,239.3,1.3107,1.718
