date,m1_0,z1_0,SOI_0,m1_1,z1_1,SOI_1,m1_2,z1_2,SOI_2,m1_3,z1_3,SOI_3,m1_4,z1_4,SOI_4,prec,fold
1945-01-01,-30,-5,0.5292829916030121,10.0,18.0,0.3344787523770276,-30.0,36.0,-0.727816021764501,-23.0,11.0,-0.8355511159080143,85.0,4.0,0.21179608735261027,7.0916667,train
1945-02-01,-35,-6,0.5420974605956878,-30.0,-5.0,0.5292829916030121,10.0,18.0,0.3344787523770276,-30.0,36.0,-0.727816021764501,-23.0,11.0,-0.8355511159080143,3.225,train
1945-03-01,16,52,1.3364832128642663,-35.0,-6.0,0.5420974605956878,-30.0,-5.0,0.5292829916030121,10.0,18.0,0.3344787523770276,-30.0,36.0,-0.727816021764501,4.1666665,train
1945-05-01,107,-9,0.08935841876298495,68.0,54.0,-0.5124102917527169,16.0,52.0,1.3364832128642663,-35.0,-6.0,0.5420974605956878,-30.0,-5.0,0.5292829916030121,7.8875003,train
1945-06-01,29,-23,0.93176085857703,107.0,-9.0,0.08935841876298495,68.0,54.0,-0.5124102917527169,16.0,52.0,1.3364832128642663,-35.0,-6.0,0.5420974605956878,3.06875,train
1945-07-01,39,3,0.40140223445608425,29.0,-23.0,0.93176085857703,107.0,-9.0,0.08935841876298495,68.0,54.0,-0.5124102917527169,16.0,52.0,1.3364832128642663,6.9687495,train
1945-08-01,-108,20,1.2009387665249411,39.0,3.0,0.40140223445608425,29.0,-23.0,0.93176085857703,107.0,-9.0,0.08935841876298495,68.0,54.0,-0.5124102917527169,0.18124999,train
1945-09-01,-28,-5,0.8072067746896712,-108.0,20.0,1.2009387665249411,39.0,3.0,0.40140223445608425,29.0,-23.0,0.93176085857703,107.0,-9.0,0.08935841876298495,0.0,train
1945-10-01,55,-2,0.234361898364462,-28.0,-5.0,0.8072067746896712,-108.0,20.0,1.2009387665249411,39.0,3.0,0.40140223445608425,29.0,-23.0,0.93176085857703,5.3347826,train
1945-11-01,-51,58,-0.4057735342579777,55.0,-2.0,0.234361898364462,-28.0,-5.0,0.8072067746896712,-108.0,20.0,1.2009387665249411,39.0,3.0,0.40140223445608425,0.7840909,train
1945-12-01,114,14,0.5906440988364605,-51.0,58.0,-0.4057735342579777,55.0,-2.0,0.234361898364462,-28.0,-5.0,0.8072067746896712,-108.0,20.0,1.2009387665249411,6.1847825,train
1946-01-01,7,35,-0.22204394197819385,114.0,14.0,0.5906440988364605,-51.0,58.0,-0.4057735342579777,55.0,-2.0,0.234361898364462,-28.0,-5.0,0.8072067746896712,4.0258064,train
1946-02-01,-37,35,0.37363210103213707,7.0,35.0,-0.22204394197819385,114.0,14.0,0.5906440988364605,-51.0,58.0,-0.4057735342579777,55.0,-2.0,0.234361898364462,4.1098213,train
1946-03-01,-75,-20,-0.13846447700830788,-37.0,35.0,0.37363210103213707,7.0,35.0,-0.22204394197819385,114.0,14.0,0.5906440988364605,-51.0,58.0,-0.4057735342579777,11.264516,train
1946-04-01,20,-17,-0.7329147205806765,-75.0,-20.0,-0.13846447700830788,-37.0,35.0,0.37363210103213707,7.0,35.0,-0.22204394197819385,114.0,14.0,0.5906440988364605,12.333334,train
1946-05-01,-81,-30,-1.0052822110778028,20.0,-17.0,-0.7329147205806765,-75.0,-20.0,-0.13846447700830788,-37.0,35.0,0.37363210103213707,7.0,35.0,-0.22204394197819385,12.591935,train
1946-06-01,-9,-36,-0.8663741316588643,-81.0,-30.0,-1.0052822110778028,20.0,-17.0,-0.7329147205806765,-75.0,-20.0,-0.13846447700830788,-37.0,35.0,0.37363210103213707,4.9866667,train
1946-07-01,-123,28,-0.9902517387771136,-9.0,-36.0,-0.8663741316588643,-81.0,-30.0,-1.0052822110778028,20.0,-17.0,-0.7329147205806765,-75.0,-20.0,-0.13846447700830788,10.300806,train
1946-08-01,61,41,-0.39605427406673976,-123.0,28.0,-0.9902517387771136,-9.0,-36.0,-0.8663741316588643,-81.0,-30.0,-1.0052822110778028,20.0,-17.0,-0.7329147205806765,15.126613,train
1946-09-01,21,19,-1.6339770433923602,61.0,41.0,-0.39605427406673976,-123.0,28.0,-0.9902517387771136,-9.0,-36.0,-0.8663741316588643,-81.0,-30.0,-1.0052822110778028,10.6125,train
1946-10-01,44,17,-1.1921887873321282,21.0,19.0,-1.6339770433923602,61.0,41.0,-0.39605427406673976,-123.0,28.0,-0.9902517387771136,-9.0,-36.0,-0.8663741316588643,12.558871,train
1946-11-01,110,3,-0.21254804175421016,44.0,17.0,-1.1921887873321282,21.0,19.0,-1.6339770433923602,61.0,41.0,-0.39605427406673976,-123.0,28.0,-0.9902517387771136,13.493333,train
1946-12-01,19,26,-0.6389495641690275,110.0,3.0,-0.21254804175421016,44.0,17.0,-1.1921887873321282,21.0,19.0,-1.6339770433923602,61.0,41.0,-0.39605427406673976,4.946774,train
1947-01-01,26,1,-0.4568336087223874,19.0,26.0,-0.6389495641690275,110.0,3.0,-0.21254804175421016,44.0,17.0,-1.1921887873321282,21.0,19.0,-1.6339770433923602,7.3879037,train
1947-02-01,13,-12,-0.3844620170038652,26.0,1.0,-0.4568336087223874,19.0,26.0,-0.6389495641690275,110.0,3.0,-0.21254804175421016,44.0,17.0,-1.1921887873321282,2.982143,train
1947-03-01,-87,-27,1.1784531032350298,13.0,-12.0,-0.3844620170038652,26.0,1.0,-0.4568336087223874,19.0,26.0,-0.6389495641690275,110.0,3.0,-0.21254804175421016,15.2290325,train
1947-04-01,-1,-27,-0.29190586292475723,-87.0,-27.0,1.1784531032350298,13.0,-12.0,-0.3844620170038652,26.0,1.0,-0.4568336087223874,19.0,26.0,-0.6389495641690275,15.837501,train
1947-05-01,-40,-8,-1.2398480603293496,-1.0,-27.0,-0.29190586292475723,-87.0,-27.0,1.1784531032350298,13.0,-12.0,-0.3844620170038652,26.0,1.0,-0.4568336087223874,9.513709,train
1947-06-01,17,19,0.3596269980474019,-40.0,-8.0,-1.2398480603293496,-1.0,-27.0,-0.29190586292475723,-87.0,-27.0,1.1784531032350298,13.0,-12.0,-0.3844620170038652,15.721666,train
1947-07-01,-76,4,0.9978253658417512,17.0,19.0,0.3596269980474019,-40.0,-8.0,-1.2398480603293496,-1.0,-27.0,-0.29190586292475723,-87.0,-27.0,1.1784531032350298,7.6620965,train
1947-08-01,-49,23,0.7537807151592415,-76.0,4.0,0.9978253658417512,17.0,19.0,0.3596269980474019,-40.0,-8.0,-1.2398480603293496,-1.0,-27.0,-0.29190586292475723,7.7758064,train
1947-09-01,10,25,1.104912118358134,-49.0,23.0,0.7537807151592415,-76.0,4.0,0.9978253658417512,17.0,19.0,0.3596269980474019,-40.0,-8.0,-1.2398480603293496,10.714167,train
1947-10-01,-20,1,-0.1817153849636932,10.0,25.0,1.104912118358134,-49.0,23.0,0.7537807151592415,-76.0,4.0,0.9978253658417512,17.0,19.0,0.3596269980474019,10.004032,train
1947-11-01,-84,1,0.8179879182664446,-20.0,1.0,-0.1817153849636932,10.0,25.0,1.104912118358134,-49.0,23.0,0.7537807151592415,-76.0,4.0,0.9978253658417512,7.3641667,train
1947-12-01,-56,-18,0.4369448909607892,-84.0,1.0,0.8179879182664446,-20.0,1.0,-0.1817153849636932,10.0,25.0,1.104912118358134,-49.0,23.0,0.7537807151592415,6.3870964,train
1948-01-01,41,4,-0.26900187532703257,-56.0,-18.0,0.4369448909607892,-84.0,1.0,0.8179879182664446,-20.0,1.0,-0.1817153849636932,10.0,25.0,1.104912118358134,7.2564516,train
1948-02-01,-31,4,-0.2581129973312141,41.0,4.0,-0.26900187532703257,-56.0,-18.0,0.4369448909607892,-84.0,1.0,0.8179879182664446,-20.0,1.0,-0.1817153849636932,9.846552,train
1948-03-01,-33,33,-0.34917128984728985,-31.0,4.0,-0.2581129973312141,41.0,4.0,-0.26900187532703257,-56.0,-18.0,0.4369448909607892,-84.0,1.0,0.8179879182664446,9.929032,train
1948-04-01,34,0,0.3696074235592888,-33.0,33.0,-0.34917128984728985,-31.0,4.0,-0.2581129973312141,41.0,4.0,-0.26900187532703257,-56.0,-18.0,0.4369448909607892,14.058333,train
1948-05-01,-40,17,0.4803015008489552,34.0,0.0,0.3696074235592888,-33.0,33.0,-0.34917128984728985,-31.0,4.0,-0.2581129973312141,41.0,4.0,-0.26900187532703257,13.333064,train
1948-06-01,10,-16,-0.3759736797764322,-40.0,17.0,0.4803015008489552,34.0,0.0,0.3696074235592888,-33.0,33.0,-0.34917128984728985,-31.0,4.0,-0.2581129973312141,10.924167,train
1948-07-01,-23,18,0.13632528717357398,10.0,-16.0,-0.3759736797764322,-40.0,17.0,0.4803015008489552,34.0,0.0,0.3696074235592888,-33.0,33.0,-0.34917128984728985,17.483871,train
1948-08-01,-65,-5,-0.39605427406673976,-23.0,18.0,0.13632528717357398,10.0,-16.0,-0.3759736797764322,-40.0,17.0,0.4803015008489552,34.0,0.0,0.3696074235592888,9.062903,train
1948-09-01,-10,14,-0.8004020811204882,-65.0,-5.0,-0.39605427406673976,-23.0,18.0,0.13632528717357398,10.0,-16.0,-0.3759736797764322,-40.0,17.0,0.4803015008489552,8.841666,train
1948-10-01,-9,27,0.5909995697886433,-10.0,14.0,-0.8004020811204882,-65.0,-5.0,-0.39605427406673976,-23.0,18.0,0.13632528717357398,10.0,-16.0,-0.3759736797764322,9.025,train
1948-11-01,-37,-11,0.3671284357574585,-9.0,27.0,0.5909995697886433,-10.0,14.0,-0.8004020811204882,-65.0,-5.0,-0.39605427406673976,-23.0,18.0,0.13632528717357398,9.7425,train
1948-12-01,-11,25,-0.6389495641690857,-37.0,-11.0,0.3671284357574585,-9.0,27.0,0.5909995697886433,-10.0,14.0,-0.8004020811204882,-65.0,-5.0,-0.39605427406673976,5.75,train
1949-01-01,76,-16,-0.6916232754664742,-11.0,25.0,-0.6389495641690857,-37.0,-11.0,0.3671284357574585,-9.0,27.0,0.5909995697886433,-10.0,14.0,-0.8004020811204882,6.025,train
1949-02-01,-60,60,0.1630504015776867,76.0,-16.0,-0.6916232754664742,-11.0,25.0,-0.6389495641690857,-37.0,-11.0,0.3671284357574585,-9.0,27.0,0.5909995697886433,6.785714,train
1949-03-01,12,21,0.5990093679279492,-60.0,60.0,0.1630504015776867,76.0,-16.0,-0.6916232754664742,-11.0,25.0,-0.6389495641690857,-37.0,-11.0,0.3671284357574585,3.4153228,train
1949-04-01,66,21,0.22260447100726,12.0,21.0,0.5990093679279492,-60.0,60.0,0.1630504015776867,76.0,-16.0,-0.6916232754664742,-11.0,25.0,-0.6389495641690857,10.215,train
1949-05-01,-83,-24,-0.457961896157409,66.0,21.0,0.22260447100726,12.0,21.0,0.5990093679279492,-60.0,60.0,0.1630504015776867,76.0,-16.0,-0.6916232754664742,12.4467745,train
1949-06-01,95,11,-1.1115743576000805,-83.0,-24.0,-0.457961896157409,66.0,21.0,0.22260447100726,12.0,21.0,0.5990093679279492,-60.0,60.0,0.1630504015776867,12.644167,train
1949-07-01,11,66,-0.1287516601089363,95.0,11.0,-1.1115743576000805,-83.0,-24.0,-0.457961896157409,66.0,21.0,0.22260447100726,12.0,21.0,0.5990093679279492,8.710484,train
1949-08-01,28,-1,-0.39605427406673976,11.0,66.0,-0.1287516601089363,95.0,11.0,-1.1115743576000805,-83.0,-24.0,-0.457961896157409,66.0,21.0,0.22260447100726,9.641129,train
1949-09-01,29,-15,0.15225501861889065,28.0,-1.0,-0.39605427406673976,11.0,66.0,-0.1287516601089363,95.0,11.0,-1.1115743576000805,-83.0,-24.0,-0.457961896157409,6.675833,train
1949-10-01,-94,31,0.5315599578846694,29.0,-15.0,0.15225501861889065,28.0,-1.0,-0.39605427406673976,11.0,66.0,-0.1287516601089363,95.0,11.0,-1.1115743576000805,5.5741935,train
1949-11-01,-53,-28,-0.6634075242631963,-94.0,31.0,0.5315599578846694,29.0,-15.0,0.15225501861889065,28.0,-1.0,-0.39605427406673976,11.0,66.0,-0.1287516601089363,6.2416663,train
1949-12-01,-4,28,0.6931102374202803,-53.0,-28.0,-0.6634075242631963,-94.0,31.0,0.5315599578846694,29.0,-15.0,0.15225501861889065,28.0,-1.0,-0.39605427406673976,4.904032,train
1950-01-01,-10,7,0.5292829916030121,-4.0,28.0,0.6931102374202803,-53.0,-28.0,-0.6634075242631963,-94.0,31.0,0.5315599578846694,29.0,-15.0,0.15225501861889065,1.614516,train
1950-02-01,13,27,1.5528896179770881,-10.0,7.0,0.5292829916030121,-4.0,28.0,0.6931102374202803,-53.0,-28.0,-0.6634075242631963,-94.0,31.0,0.5315599578846694,2.95625,train
1950-03-01,12,14,1.7578968385421103,13.0,27.0,1.5528896179770881,-10.0,7.0,0.5292829916030121,-4.0,28.0,0.6931102374202803,-53.0,-28.0,-0.6634075242631963,4.6201615,train
1950-04-01,41,-18,1.6191325202511997,12.0,14.0,1.7578968385421103,13.0,27.0,1.5528896179770881,-10.0,7.0,0.5292829916030121,-4.0,28.0,0.6931102374202803,12.991667,train
1950-05-01,-72,-14,0.8712445829349255,41.0,-18.0,1.6191325202511997,12.0,14.0,1.7578968385421103,13.0,27.0,1.5528896179770881,-10.0,7.0,0.5292829916030121,6.65,train
1950-06-01,117,-4,2.811629257459934,-72.0,-14.0,0.8712445829349255,41.0,-18.0,1.6191325202511997,12.0,14.0,1.7578968385421103,13.0,27.0,1.5528896179770881,19.270834,train
