time,Nino 1+2,Nino 2,Nino 3.4,Nino 4a,Nino 4b,New Zealand
2021-05-01,0.028202346,-0.109229445,-0.24826895,0.22109945,-0.27312738,0.96091366
2021-05-02,0.099805236,-0.116121285,-0.2312093,0.21327436,-0.23065098,0.9151107
2021-05-03,0.09338876,-0.13620298,-0.24869478,0.23163989,-0.1723648,0.88913906
2021-05-04,0.03474278,-0.18797274,-0.26247686,0.22221044,-0.15933532,0.88607585
2021-05-05,-0.0027523618,-0.22563452,-0.2894457,0.21173419,-0.19843118,0.84352756
2021-05-06,-0.037371375,-0.28412423,-0.2990878,0.22461909,-0.21048239,0.8278239
2021-05-07,-0.047653448,-0.3114572,-0.32109055,0.16947126,-0.22518274,0.7893769
2021-05-08,-0.13277917,-0.35849282,-0.31888887,0.19766068,-0.2051848,0.77547985
2021-05-09,-0.28715783,-0.3799674,-0.31686643,0.17557868,-0.1550627,0.8427236
2021-05-10,-0.36082947,-0.4062287,-0.32493865,0.17414618,-0.15363418,0.86826354
2021-05-11,-0.46574894,-0.4482894,-0.36092624,0.1784707,-0.19603881,0.80790174
2021-05-12,-0.46847558,-0.4322314,-0.34628713,0.1845344,-0.1865203,0.77412695
2021-05-13,-0.48208013,-0.41427773,-0.31340978,0.22624575,-0.14654635,0.79749936
2021-05-14,-0.4870129,-0.38592303,-0.25721452,0.3045215,-0.07002708,0.6269272
2021-05-15,-0.5413248,-0.36727023,-0.22506422,0.28154385,-0.05478116,0.65190315
2021-05-16,-0.49072203,-0.34877643,-0.19321948,0.2452518,-0.03409594,0.6354591
2021-05-17,-0.59047437,-0.32055885,-0.16189674,0.21773246,-0.06425532,0.5706652
2021-05-18,-0.63448906,-0.30775324,-0.11043718,0.2755118,-0.0053061214,0.4626443
2021-05-19,-0.6284337,-0.35154873,-0.15341556,0.054047227,-0.056599606,0.38567698
2021-05-20,-0.75547796,-0.3850785,-0.18435174,0.056250345,-0.08422821,0.37419236
2021-05-21,-0.7088999,-0.42363986,-0.20125265,0.15772189,-0.094895445,0.33407393
2021-05-22,-0.7735225,-0.44444534,-0.2071955,0.16599706,-0.11439701,0.25409666
