time,SOI
1950-01-01,3.1637042
1950-02-01,4.010261
1950-03-01,3.218098
1950-04-01,2.1235378
1950-05-01,1.8761252
1950-06-01,2.6801789
1950-07-01,2.4465034
1950-08-01,2.4134166
1950-09-01,2.2753456
1950-10-01,3.186193
1950-11-01,2.6439533
1950-12-01,3.8621829
1951-01-01,3.9877725
1951-02-01,3.3380377
1951-03-01,1.3544542
1951-04-01,1.0295683
1951-05-01,0.21805534
1951-06-01,0.9877298
1951-07-01,-0.015620221
1951-08-01,0.7347043
1951-09-01,0.9808613
1951-10-01,1.2938566
1951-11-01,1.6512015
1951-12-01,1.6562235
1952-01-01,1.7343247
1952-02-01,1.5193713
1952-03-01,1.8704754
1952-04-01,0.79031676
1952-05-01,1.2245072
1952-06-01,1.0908306
1952-07-01,0.9770947
1952-08-01,1.0339627
1952-09-01,1.2750975
1952-10-01,2.15788
1952-11-01,1.684953
1952-12-01,0.9571171
1953-01-01,2.3659282
1953-02-01,1.5650133
1953-03-01,1.3525709
1953-04-01,1.2313757
1953-05-01,-0.40420556
1953-06-01,0.6347423
1953-07-01,0.8259146
1953-08-01,0.1437208
1953-09-01,0.79031676
1953-10-01,2.0829177
1953-11-01,1.9042269
1953-12-01,1.8073667
1954-01-01,3.109975
1954-02-01,2.1935148
1954-03-01,2.2010112
1954-04-01,1.8848771
1954-05-01,1.5094008
1954-06-01,1.2826307
1954-07-01,1.644333
1954-08-01,2.155406
1954-09-01,2.3278193
1954-10-01,2.4864955
1954-11-01,2.4371607
1954-12-01,3.361154
1955-01-01,2.117888
1955-02-01,4.308264
1955-03-01,2.6226833
1955-04-01,1.4063001
1955-05-01,2.2084703
1955-06-01,1.9804816
1955-07-01,2.3840594
1955-08-01,2.5764873
1955-09-01,2.7613819
1955-10-01,3.2930233
1955-11-01,3.0193925
1955-12-01,3.269907
1956-01-01,3.891577
1956-02-01,4.043385
1956-03-01,3.1786966
1956-04-01,2.3403006
1956-05-01,2.4052925
1956-06-01,1.8461404
1956-07-01,1.9673356
1956-08-01,2.012313
1956-09-01,1.6599532
1956-10-01,3.3268118
1956-11-01,2.1628652
1956-12-01,3.1755948
1957-01-01,3.136895
1957-02-01,2.417774
1957-03-01,2.15788
1957-04-01,1.4931159
1957-05-01,0.3717096
1957-06-01,0.781565
1957-07-01,0.78093725
1957-08-01,0.5472986
1957-09-01,0.36609665
1957-10-01,1.3600671
1957-11-01,0.73658764
1957-12-01,1.595626
1958-01-01,0.3942352
1958-02-01,1.5499839
1958-03-01,1.5094008
1958-04-01,1.0808233
1958-05-01,0.4991824
1958-06-01,0.66409945
1958-07-01,0.88588446
1958-08-01,1.6611718
1958-09-01,1.170778
1958-10-01,1.3394617
1958-11-01,1.3451116
1958-12-01,1.15453
1959-01-01,1.6649384
1959-02-01,1.0958158
1959-03-01,2.5820632
1959-04-01,1.4044167
1959-05-01,1.157669
1959-06-01,0.29301763
1959-07-01,0.26739013
1959-08-01,0.39984813
1959-09-01,1.2894622
1959-10-01,1.8261257
1959-11-01,2.057918
1959-12-01,2.5496042
1960-01-01,2.2297037
1960-02-01,1.9073657
1960-03-01,2.1516395
1960-04-01,1.3957019
1960-05-01,0.8989936
1960-06-01,0.15557446
1960-07-01,0.8721475
1960-08-01,1.0295683
1960-09-01,1.695551
1960-10-01,1.2913455
1960-11-01,1.8430015
1960-12-01,2.2840605
1961-01-01,2.0079556
1961-02-01,2.7438784
1961-03-01,-0.058086544
1961-04-01,1.728047
1961-05-01,0.6266183
1961-06-01,0.5535393
1961-07-01,0.6928658
1961-08-01,1.0539773
1961-09-01,1.4612846
1961-10-01,1.3463302
1961-11-01,2.087903
1961-12-01,3.0818734
1962-01-01,4.0496254
1962-02-01,2.6333182
1962-03-01,1.7599152
1962-04-01,1.1726245
1962-05-01,1.5025324
1962-06-01,0.84153485
1962-07-01,0.5660207
1962-08-01,1.1782743
1962-09-01,1.7293025
1962-10-01,2.285353
1962-11-01,1.9898243
1962-12-01,1.8886436
1963-01-01,3.08564
1963-02-01,2.5614948
1963-03-01,2.4277813
1963-04-01,1.4069278
1963-05-01,0.95586157
1963-06-01,0.029357154
1963-07-01,0.4529495
1963-08-01,0.86775315
1963-09-01,0.897775
1963-10-01,0.6772086
1963-11-01,1.0471088
1963-12-01,0.8827456
1964-01-01,1.9279711
1964-02-01,2.30906
1964-03-01,2.6564348
1964-04-01,2.15788
1964-05-01,0.9889853
1964-06-01,1.211398
1964-07-01,1.4756494
1964-08-01,2.2259738
1964-09-01,2.5821002
1964-10-01,2.8938031
1964-11-01,1.8898622
1964-12-01,1.7480617
1965-01-01,1.9367229
1965-02-01,2.617698
1965-03-01,2.1628652
1965-04-01,0.46668643
1965-05-01,0.9821168
1965-06-01,-0.052473605
1965-07-01,-1.0989177
1965-08-01,0.28489363
1965-09-01,0.34113383
1965-10-01,0.81590736
1965-11-01,0.050590318
1965-12-01,2.1397488
1966-01-01,0.98835754
1966-02-01,1.8236517
1966-03-01,0.6766178
1966-04-01,0.71221566
1966-05-01,0.22429605
1966-06-01,0.6809752
1966-07-01,0.48230666
1966-08-01,1.2307479
1966-09-01,1.1857705
1966-10-01,1.4069278
1966-11-01,1.6349905
1966-12-01,1.2894992
1967-01-01,3.6329386
1967-02-01,3.5017362
1967-03-01,2.4065113
1967-04-01,0.76657254
1967-05-01,0.4129573
1967-06-01,0.88089925
1967-07-01,0.5216711
1967-08-01,1.3307099
1967-09-01,1.595626
1967-10-01,1.481927
1967-11-01,1.2926011
1967-12-01,1.0726993
1968-01-01,2.404037
1968-02-01,2.8526292
1968-03-01,1.5718818
1968-04-01,0.82842565
1968-05-01,1.4475478
1968-06-01,1.3082212
1968-07-01,1.1382822
1968-08-01,0.9040157
1968-09-01,0.9696354
1968-10-01,1.3544911
1968-11-01,1.2294924
1968-12-01,1.9061102
1969-01-01,0.7290914
1969-02-01,1.3856946
1969-03-01,1.7655282
1969-04-01,0.41236648
1969-05-01,0.22363135
1969-06-01,0.5085619
1969-07-01,-0.0012185989
1969-08-01,0.6141
1969-09-01,0.51229155
1969-10-01,0.85527176
1969-11-01,1.6331071
1969-12-01,2.1610188
1970-01-01,1.2420107
1970-02-01,1.1551579
1970-03-01,2.1235008
1970-04-01,0.9821168
1970-05-01,1.070816
1970-06-01,1.3925631
1970-07-01,0.2967473
1970-08-01,1.4562995
1970-09-01,2.5595746
1970-10-01,2.628333
1970-11-01,3.0812457
1970-12-01,3.50986
1971-01-01,2.5133786
1971-02-01,3.656055
1971-03-01,3.5710485
1971-04-01,2.2609441
1971-05-01,1.3250601
1971-06-01,0.82528687
1971-07-01,0.708486
1971-08-01,2.2166314
1971-09-01,2.848235
1971-10-01,3.1312082
1971-11-01,2.2703235
1971-12-01,2.0479107
1972-01-01,2.5164804
1972-02-01,3.0575385
1972-03-01,2.0679255
1972-04-01,0.82152027
1972-05-01,-0.117428616
1972-06-01,-0.039364435
1972-07-01,-0.7128434
1972-08-01,0.53226924
1972-09-01,0.42170906
1972-10-01,1.0133573
1972-11-01,1.3119509
1972-12-01,0.81590736
1973-01-01,1.9335841
1973-02-01,1.1002102
1973-03-01,2.1104286
1973-04-01,1.3007251
1973-05-01,1.2469959
1973-06-01,1.6999454
1973-07-01,1.3113601
1973-08-01,2.2116091
1973-09-01,2.766995
1973-10-01,2.6508217
1973-11-01,4.0146556
1973-12-01,3.6410258
1974-01-01,4.521925
1974-02-01,4.105238
1974-03-01,3.8228185
1974-04-01,1.8911177
1974-05-01,1.6730624
1974-06-01,0.96834296
1974-07-01,1.711836
1974-08-01,1.7505727
1974-09-01,2.6027057
1974-10-01,2.6614199
1974-11-01,1.9254969
1974-12-01,2.5364583
1975-01-01,1.8748697
1975-02-01,3.1624856
1975-03-01,3.1874485
1975-04-01,2.0860567
1975-05-01,1.4756863
1975-06-01,1.7030842
1975-07-01,2.4271536
1975-08-01,2.812009
1975-09-01,3.421124
1975-10-01,3.3343081
1975-11-01,3.0325387
1975-12-01,3.9015844
1976-01-01,3.6073112
1976-02-01,3.91654
1976-03-01,3.2118204
1976-04-01,1.3382062
1976-05-01,1.1233265
1976-06-01,0.82340354
1976-07-01,0.028729392
1976-08-01,0.5185323
1976-09-01,0.7228138
1976-10-01,2.412161
1976-11-01,2.7451708
