,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,19.9,21.6,19.1,16.9,14.3,12.1,10.6,12.4,13.6,14.2,16.8,20.3
2011,20.6,21.1,18.8,16.4,15.4,13.4,11.5,10.7,12.3,15.3,16.2,18.4
2012,19.0,19.8,17.8,16.8,13.4,11.8,11.2,12.6,13.2,14.3,15.6,19.6
2013,20.3,20.2,19.8,17.7,14.1,12.1,11.4,12.6,13.6,15.1,17.6,18.6
2014,19.1,20.4,18.4,18.0,14.0,13.2,10.9,11.8,13.6,14.6,15.5,18.4
2015,21.0,20.2,20.1,17.0,13.8,12.4,10.7,11.5,12.8,14.7,16.2,18.4
2016,20.9,21.9,20.1,17.4,16.3,12.8,11.7,11.4,13.8,15.1,16.5,18.0
2017,19.3,20.5,19.7,17.7,13.8,12.1,11.2,12.7,13.8,15.3,17.0,20.5
2018,22.5,21.1,19.9,17.2,14.8,11.6,11.3,12.1,13.1,14.3,16.4,19.1
2019,21.1,20.8,20.1,15.9,15.0,11.7,12.1,12.1,13.3,14.6,17.4,19.3
2020,19.9,21.4,19.0,16.5,14.1,13.2,11.7,12.4,13.3,15.8,17.6,18.7
2021,20.4,20.5,19.4,17.3,14.4,,,,,,,
