,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.8,16.5,14.1,13.3,10.6,8.5,7.7,9.5,9.3,10.7,13.5,15.6
2011,16.1,15.6,14.2,12.2,12.2,9.6,7.1,7.7,8.9,12.1,12.3,16.1
2012,15.0,16.3,14.3,13.1,9.9,7.4,8.5,10.0,10.0,10.2,11.6,14.8
2013,14.9,15.8,15.6,13.3,10.7,8.9,8.5,10.1,10.5,11.2,14.6,15.2
2014,14.2,15.6,14.1,14.3,10.7,10.4,7.6,7.9,10.3,11.0,11.4,15.6
2015,16.6,15.5,16.1,13.7,10.2,8.2,6.7,8.4,9.3,11.2,12.8,13.8
2016,16.7,18.1,16.1,12.9,11.6,9.8,7.6,7.8,10.8,12.2,13.0,13.7
2017,14.1,15.6,15.4,13.6,10.7,8.7,7.7,10.1,10.3,12.1,14.1,16.5
2018,19.7,16.8,16.3,11.9,10.2,8.3,8.7,8.9,9.7,11.6,13.5,16.6
2019,16.1,16.0,16.8,12.7,11.9,7.9,8.6,7.6,9.5,11.1,13.2,14.0
2020,15.7,16.2,14.3,12.0,10.9,9.7,8.1,9.8,10.2,12.0,14.0,14.6
2021,15.5,16.0,15.4,12.7,10.7,,,,,,,
