,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.84,17.14,15.94,14.74,11.84,9.54,8.139999999999999,10.04,11.34,11.24,14.139999999999999,16.44
2011,16.740000000000002,17.64,15.639999999999999,13.139999999999999,13.639999999999999,10.44,8.84,8.94,10.139999999999999,12.139999999999999,13.44,15.24
2012,15.94,15.94,14.24,13.94,10.639999999999999,8.74,9.24,10.34,11.139999999999999,12.139999999999999,12.74,16.34
2013,17.14,17.240000000000002,16.740000000000002,14.84,11.84,9.84,10.139999999999999,11.04,11.04,12.639999999999999,14.54,16.64
2014,16.240000000000002,17.040000000000003,15.44,14.639999999999999,12.34,11.44,9.04,9.139999999999999,11.34,12.54,13.54,15.44
2015,18.14,16.740000000000002,16.740000000000002,14.139999999999999,12.139999999999999,9.74,8.84,9.34,9.639999999999999,12.44,13.04,14.94
2016,17.540000000000003,19.540000000000003,17.14,14.94,13.74,11.44,10.04,9.139999999999999,10.94,12.44,13.74,15.04
2017,15.94,16.94,15.639999999999999,14.139999999999999,11.34,9.639999999999999,8.94,10.639999999999999,11.24,13.24,14.639999999999999,17.84
2018,20.34,18.34,17.040000000000003,14.04,12.04,9.44,10.139999999999999,10.74,10.639999999999999,12.54,14.04,16.740000000000002
2019,18.84,17.540000000000003,17.040000000000003,13.139999999999999,13.639999999999999,10.139999999999999,10.74,9.639999999999999,10.74,11.74,14.84,15.74
2020,16.44,17.94,15.34,13.84,12.24,10.54,9.54,10.639999999999999,10.84,12.74,13.54,15.139999999999999
2021,17.240000000000002,16.94,16.040000000000003,14.44,12.24,,,,,,,
