,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,17.8,18.3,16.2,14.3,11.4,8.7,7.1,9.9,11.9,11.3,15.1,18.2
2011,18.5,19.4,16.2,12.5,12.5,9.2,8.2,7.5,8.9,12.7,13.5,15.7
2012,16.4,15.8,14.5,13.0,9.3,7.5,8.3,9.4,10.5,12.1,12.7,17.7
2013,17.8,17.0,16.4,14.3,11.0,9.1,9.1,10.6,11.3,13.1,15.5,17.4
2014,17.0,18.0,15.3,14.2,11.0,9.6,7.7,8.0,10.5,11.7,13.7,16.1
2015,18.3,16.7,16.6,13.6,10.5,8.0,7.2,8.3,8.9,11.8,13.0,15.1
2016,18.5,19.8,16.9,,,9.8,9.0,8.0,10.9,12.5,14.1,15.3
2017,17.0,17.0,15.7,13.4,10.1,7.8,7.3,10.0,11.0,12.9,14.5,18.2
2018,21.1,18.9,16.6,13.1,11.1,8.5,9.1,9.9,10.5,12.7,15.0,17.5
2019,20.0,18.2,17.6,13.0,12.5,8.5,9.7,8.9,10.6,11.8,16.2,16.8
2020,18.0,19.9,16.4,14.0,10.9,10.4,8.7,9.8,11.3,13.7,14.8,16.2
2021,18.5,17.5,16.4,13.9,11.2,,,,,,,
