,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,15.9,17.2,16.0,14.8,11.9,9.6,8.2,10.1,11.4,11.3,14.2,16.5
2011,16.8,17.7,15.7,13.2,13.7,10.5,8.9,9.0,10.2,12.2,13.5,15.3
2012,16.0,16.0,14.3,14.0,10.7,8.8,9.3,10.4,11.2,12.2,12.8,16.4
2013,17.2,17.3,16.8,14.9,11.9,9.9,10.2,11.1,11.1,12.7,14.6,16.7
2014,16.3,17.1,15.5,14.7,12.4,11.5,9.1,9.2,11.4,12.6,13.6,15.5
2015,18.2,16.8,16.8,14.2,12.2,9.8,8.9,9.4,9.7,12.5,13.1,15.0
2016,17.6,19.6,17.2,15.0,13.8,11.5,10.1,9.2,11.0,12.5,13.8,15.1
2017,16.0,17.0,15.7,14.2,11.4,9.7,9.0,10.7,11.3,13.3,14.7,17.9
2018,20.4,18.4,17.1,14.1,12.1,9.5,10.2,10.8,10.7,12.6,14.1,16.8
2019,18.9,17.6,17.1,13.2,13.7,10.2,10.8,9.7,10.8,11.8,14.9,15.8
2020,16.5,18.0,15.4,13.9,12.3,10.6,9.6,10.7,10.9,12.8,13.6,15.2
2021,17.3,17.0,16.1,14.5,12.3,,,,,,,
