,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,14.3,15.7,15.0,12.8,9.8,7.3,6.8,8.0,9.4,11.3,14.1,15.3
2011,14.9,15.2,14.3,11.6,11.0,8.6,6.7,7.5,9.4,10.9,12.0,14.3
2012,15.0,14.0,12.5,12.6,9.2,6.3,7.5,8.4,10.5,10.2,11.5,15.1
2013,15.8,15.4,14.9,11.9,9.7,7.4,8.4,9.5,9.1,12.1,13.1,13.8
2014,13.9,14.7,13.6,12.2,9.9,8.7,7.3,7.5,9.2,10.5,11.5,14.0
2015,16.2,14.7,14.4,11.7,9.8,7.2,6.5,6.7,8.5,11.7,12.0,14.7
2016,14.3,17.7,14.8,13.2,11.1,9.0,7.0,7.2,9.1,11.8,12.5,14.1
2017,14.1,15.0,13.4,12.6,9.0,7.5,6.1,9.0,10.5,11.7,13.6,16.6
2018,18.1,15.4,15.3,11.7,9.1,7.2,7.8,8.5,9.5,11.5,12.7,15.2
2019,17.0,16.1,16.6,12.0,11.8,8.1,8.4,7.8,9.1,10.3,14.6,14.1
2020,15.3,15.7,13.0,11.6,10.0,7.6,7.2,9.3,10.2,11.9,13.5,14.5
2021,15.9,15.7,15.1,13.0,10.4,,,,,,,
