,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,17.52,18.02,15.92,14.020000000000001,11.120000000000001,8.42,6.819999999999999,9.620000000000001,11.620000000000001,11.020000000000001,14.82,17.919999999999998
2011,18.22,19.119999999999997,15.92,12.22,12.22,8.92,7.919999999999999,7.22,8.620000000000001,12.42,13.22,15.42
2012,16.119999999999997,15.520000000000001,14.22,12.72,9.020000000000001,7.22,8.020000000000001,9.120000000000001,10.22,11.82,12.42,17.419999999999998
2013,17.52,16.72,16.119999999999997,14.020000000000001,10.72,8.82,8.82,10.32,11.020000000000001,12.82,15.22,17.119999999999997
2014,16.72,17.72,15.020000000000001,13.92,10.72,9.32,7.42,7.72,10.22,11.42,13.42,15.820000000000002
2015,18.02,16.419999999999998,16.32,13.32,10.22,7.72,6.92,8.020000000000001,8.620000000000001,11.520000000000001,12.72,14.82
2016,18.22,19.52,16.619999999999997,,,9.520000000000001,8.72,7.72,10.620000000000001,12.22,13.82,15.020000000000001
2017,16.72,16.72,15.42,13.120000000000001,9.82,7.52,7.02,9.72,10.72,12.620000000000001,14.22,17.919999999999998
2018,20.82,18.619999999999997,16.32,12.82,10.82,8.22,8.82,9.620000000000001,10.22,12.42,14.72,17.22
2019,19.72,17.919999999999998,17.32,12.72,12.22,8.22,9.42,8.620000000000001,10.32,11.520000000000001,15.92,16.52
2020,17.72,19.619999999999997,16.119999999999997,13.72,10.620000000000001,10.120000000000001,8.42,9.520000000000001,11.020000000000001,13.42,14.520000000000001,15.92
2021,18.22,17.22,16.119999999999997,13.620000000000001,10.92,,,,,,,
