,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,19.680000000000003,20.78,18.88,14.68,13.58,11.98,10.58,10.879999999999999,11.88,13.879999999999999,15.98,16.88
1911,18.380000000000003,18.180000000000003,18.479999999999997,17.98,13.680000000000001,11.18,10.08,10.68,11.68,12.78,14.080000000000002,14.78
1912,16.98,17.48,15.979999999999999,15.18,11.98,10.68,9.58,9.48,12.180000000000001,12.68,13.780000000000001,16.48
1913,17.98,17.98,17.779999999999998,13.879999999999999,10.680000000000001,9.780000000000001,10.28,11.08,11.98,13.58,14.98,15.08
1914,18.98,18.48,17.58,15.28,11.580000000000002,10.08,9.48,9.78,11.18,12.479999999999999,14.080000000000002,15.18
1915,18.380000000000003,17.78,15.879999999999999,14.28,12.780000000000001,11.48,10.88,11.18,13.48,14.479999999999999,14.88,16.78
1916,17.98,20.080000000000002,19.279999999999998,15.879999999999999,14.180000000000001,13.08,11.38,11.18,12.280000000000001,13.78,15.88,18.18
1917,19.080000000000002,17.98,17.18,16.279999999999998,14.08,12.18,11.58,10.58,12.280000000000001,14.18,16.080000000000002,16.88
1918,18.78,19.380000000000003,18.08,16.48,13.180000000000001,11.68,9.08,10.28,11.08,13.28,14.280000000000001,15.08
1919,16.48,19.180000000000003,16.779999999999998,14.079999999999998,12.180000000000001,10.78,10.18,9.78,10.48,12.479999999999999,13.080000000000002,15.68
1920,17.080000000000002,18.78,17.18,15.079999999999998,11.98,11.48,9.78,10.28,11.58,13.479999999999999,14.48,16.58
1921,17.98,17.98,17.279999999999998,14.479999999999999,12.780000000000001,12.08,10.28,10.78,12.280000000000001,13.979999999999999,14.680000000000001,16.68
1922,19.28,18.880000000000003,17.279999999999998,15.68,13.58,10.48,10.08,10.98,11.780000000000001,14.28,15.280000000000001,17.18
1923,18.080000000000002,17.28,16.18,13.78,13.780000000000001,11.38,9.48,9.48,11.98,13.479999999999999,15.98,18.48
1924,19.180000000000003,19.78,18.979999999999997,18.08,13.680000000000001,11.18,9.98,10.68,12.48,13.78,15.580000000000002,16.18
1925,18.68,18.180000000000003,16.979999999999997,14.979999999999999,13.48,10.98,10.28,9.98,11.280000000000001,13.28,13.98,16.58
1926,18.48,16.580000000000002,16.779999999999998,16.08,13.58,10.68,10.58,10.78,11.58,13.979999999999999,13.98,16.58
1927,18.68,19.180000000000003,17.18,14.78,12.680000000000001,9.98,10.68,10.08,11.780000000000001,12.879999999999999,14.780000000000001,16.28
1928,18.080000000000002,20.48,18.38,17.48,14.98,11.58,10.78,10.879999999999999,12.48,13.68,16.48,17.18
1929,18.880000000000003,18.48,18.68,15.979999999999999,13.38,12.08,9.98,10.58,11.18,13.78,15.98,17.38
1930,18.580000000000002,18.180000000000003,17.18,14.68,12.180000000000001,10.68,9.58,11.48,11.280000000000001,12.28,13.88,17.98
1931,18.580000000000002,16.580000000000002,16.38,15.479999999999999,12.180000000000001,10.88,11.08,9.98,11.08,12.979999999999999,16.580000000000002,16.98
1932,17.78,18.680000000000003,17.88,15.979999999999999,12.580000000000002,10.38,8.98,9.58,11.98,14.58,15.280000000000001,17.38
1933,19.380000000000003,19.880000000000003,18.479999999999997,15.979999999999999,13.48,9.68,10.379999999999999,10.48,12.08,13.379999999999999,15.180000000000001,17.48
1934,17.380000000000003,18.180000000000003,16.979999999999997,16.08,12.580000000000002,10.98,9.58,10.78,12.38,13.78,16.880000000000003,19.78
1935,20.880000000000003,20.680000000000003,18.68,16.88,12.38,11.78,10.08,10.58,10.88,13.78,13.88,18.18
1936,18.98,18.580000000000002,16.779999999999998,16.18,11.580000000000002,10.48,9.68,11.18,11.38,14.58,15.180000000000001,16.48
1937,17.48,17.28,17.58,15.579999999999998,13.180000000000001,10.18,9.28,10.58,11.780000000000001,13.18,15.580000000000002,18.88
1938,20.580000000000002,21.080000000000002,20.08,19.58,14.280000000000001,11.08,10.08,10.78,12.180000000000001,13.879999999999999,16.68,16.58
1939,16.78,17.380000000000003,18.38,15.78,13.38,12.38,9.08,10.58,11.98,12.78,15.080000000000002,17.08
1940,18.880000000000003,17.78,16.58,13.68,11.88,10.68,9.48,11.08,12.280000000000001,13.479999999999999,14.38,18.38
1941,19.28,19.180000000000003,18.38,14.68,13.48,10.28,9.98,10.08,12.08,12.68,14.680000000000001,17.08
1942,17.580000000000002,18.180000000000003,18.279999999999998,15.979999999999999,13.180000000000001,10.68,10.78,11.68,12.58,14.78,15.580000000000002,16.98
1943,18.880000000000003,18.98,17.479999999999997,15.78,12.180000000000001,11.08,9.68,9.58,11.58,12.78,15.780000000000001,18.28
