,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,14.950000000000001,15.05,14.049999999999999,10.149999999999999,10.35,8.05,4.85,7.65,9.45,11.75,13.65,14.75
1911,14.25,14.65,15.45,12.35,9.149999999999999,6.65,5.6499999999999995,7.95,8.25,10.65,10.75,11.05
1912,13.350000000000001,12.15,10.75,10.149999999999999,7.949999999999999,6.25,5.75,7.45,9.65,12.15,11.75,13.75
1913,14.46,13.66,12.459999999999999,9.459999999999999,7.159999999999999,6.76,7.06,6.96,10.26,11.06,10.86,12.860000000000001
1914,15.76,14.360000000000001,13.66,11.059999999999999,7.059999999999999,6.66,6.359999999999999,7.56,9.66,11.360000000000001,10.959999999999999,12.06
1915,14.06,13.06,12.16,10.16,8.559999999999999,6.0600000000000005,7.359999999999999,8.26,11.16,12.16,12.16,13.76
1916,14.16,15.66,14.76,12.66,9.36,8.76,6.06,7.26,10.06,10.66,12.959999999999999,15.66
1917,16.76,14.360000000000001,14.459999999999999,11.86,10.16,7.66,7.359999999999999,7.46,10.16,11.260000000000002,13.459999999999999,12.76
1918,14.76,16.16,14.06,10.86,8.86,6.66,4.66,6.76,8.46,10.66,10.66,11.860000000000001
1919,12.66,14.26,13.16,10.16,7.959999999999999,7.46,7.06,7.36,8.56,10.66,10.86,12.76
1920,12.76,15.26,13.66,11.66,7.459999999999999,7.66,7.76,5.5600000000000005,7.66,11.06,10.66,14.16
1921,14.16,13.96,13.06,10.059999999999999,9.26,7.36,6.76,6.76,10.16,9.760000000000002,12.36,12.46
1922,14.360000000000001,15.16,11.16,11.26,9.059999999999999,5.66,6.06,7.56,9.26,12.46,11.86,13.46
1923,14.76,12.36,12.66,9.559999999999999,8.559999999999999,5.5600000000000005,5.76,7.76,10.46,11.360000000000001,15.059999999999999,15.46
1924,15.860000000000001,16.560000000000002,14.26,14.059999999999999,9.26,7.16,7.06,8.46,11.46,11.860000000000001,13.76,13.66
1925,14.76,13.56,12.959999999999999,10.959999999999999,7.659999999999999,5.5600000000000005,6.56,6.66,7.5600000000000005,11.46,10.66,12.96
1926,14.860000000000001,13.26,12.76,13.059999999999999,8.059999999999999,7.56,6.76,7.36,9.46,9.66,11.16,12.860000000000001
1927,15.66,14.66,12.86,9.76,8.26,5.46,6.26,6.359999999999999,8.36,10.16,10.26,12.860000000000001
1928,15.96,15.66,14.86,12.66,9.559999999999999,6.16,7.16,7.96,9.26,10.66,12.459999999999999,12.66
1929,15.06,14.66,13.36,11.26,8.16,7.66,5.76,7.16,8.46,10.56,11.26,11.66
1930,13.26,15.06,12.959999999999999,11.86,8.959999999999999,6.36,4.76,6.56,7.5600000000000005,9.06,9.959999999999999,12.76
1931,13.56,13.36,12.459999999999999,10.559999999999999,8.86,5.46,5.56,6.06,7.66,11.56,12.959999999999999,13.46
1932,13.26,13.26,12.559999999999999,11.459999999999999,8.059999999999999,6.46,5.46,5.76,7.86,10.860000000000001,12.76,13.06
1933,15.46,14.56,14.26,10.26,7.56,5.76,5.76,7.36,9.46,10.96,11.559999999999999,14.16
1934,12.66,14.860000000000001,12.66,12.26,7.959999999999999,6.26,5.66,7.56,9.66,10.760000000000002,13.76,16.76
1935,16.46,16.060000000000002,14.56,12.559999999999999,8.26,6.26,5.76,7.76,7.5600000000000005,11.360000000000001,10.66,16.16
1936,14.96,14.16,11.16,11.959999999999999,8.26,7.06,5.56,8.56,8.66,11.860000000000001,11.86,12.46
1937,13.66,11.96,12.86,10.16,8.76,5.36,6.16,7.86,8.36,10.360000000000001,12.66,14.06
1938,15.860000000000001,17.66,14.56,12.959999999999999,10.76,6.76,4.359999999999999,7.96,9.46,11.96,12.06,12.360000000000001
