,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,18.65,18.35,16.15,12.25,10.55,7.75,6.65,7.950000000000001,9.35,12.15,14.950000000000001,15.850000000000001
1911,16.95,16.75,17.15,15.549999999999999,10.45,8.25,7.05,8.25,10.25,11.25,12.75,13.75
1912,16.15,15.15,13.95,12.35,9.05,7.05,7.45,6.8500000000000005,10.05,11.95,13.850000000000001,16.45
1913,17.55,16.75,16.549999999999997,11.75,7.949999999999999,6.55,7.45,8.350000000000001,11.05,12.950000000000001,13.65,14.850000000000001
1914,18.25,18.150000000000002,16.15,12.95,9.05,6.95,6.65,7.050000000000001,9.45,11.65,13.65,13.850000000000001
1915,17.15,15.950000000000001,14.149999999999999,11.75,9.65,7.25,7.3500000000000005,8.05,10.65,12.75,12.850000000000001,16.05
1916,17.45,19.05,17.95,14.149999999999999,11.45,9.65,8.45,7.65,9.85,12.25,14.55,17.950000000000003
1917,18.95,16.95,16.349999999999998,14.35,11.55,8.25,8.35,8.15,11.15,12.450000000000001,15.450000000000001,16.25
1918,17.849999999999998,17.95,16.849999999999998,13.85,9.45,8.05,5.75,7.750000000000001,8.75,11.05,12.75,13.850000000000001
1919,15.549999999999999,17.85,14.749999999999998,11.85,9.25,7.15,6.550000000000001,8.15,8.85,12.15,12.850000000000001,14.75
1920,15.25,17.35,14.95,12.95,8.15,7.55,6.75,7.050000000000001,9.25,11.55,12.15,16.23
1921,16.83,16.330000000000002,14.829999999999998,12.03,9.23,8.73,7.23,8.430000000000001,11.030000000000001,12.53,13.930000000000001,15.23
1922,17.13,17.43,14.43,13.43,10.93,7.63,7.03,8.430000000000001,9.530000000000001,13.43,14.030000000000001,16.23
1923,17.029999999999998,15.63,14.229999999999999,12.03,10.629999999999999,7.83,7.23,7.030000000000001,10.73,12.73,14.73,17.130000000000003
1924,17.63,17.93,16.93,15.53,10.83,8.13,6.93,8.73,10.63,13.13,14.030000000000001,15.23
1925,17.63,16.13,14.329999999999998,12.229999999999999,9.93,7.73,7.930000000000001,8.13,8.73,11.93,13.030000000000001,15.63
1926,16.029999999999998,15.63,14.629999999999999,13.93,10.129999999999999,7.23,7.63,7.630000000000001,9.93,12.33,12.530000000000001,15.330000000000002
1927,17.43,17.330000000000002,14.629999999999999,11.329999999999998,9.53,6.43,7.930000000000001,7.430000000000001,10.030000000000001,11.530000000000001,12.330000000000002,14.030000000000001
1928,16.73,18.93,17.43,15.03,12.23,9.13,8.93,9.13,9.93,12.33,13.73,15.930000000000001
1929,17.43,17.13,16.43,14.129999999999999,10.03,9.23,7.53,7.930000000000001,9.43,12.53,14.13,14.73
1930,15.53,16.63,15.43,13.53,9.83,7.53,6.33,8.73,8.83,10.93,12.530000000000001,14.930000000000001
1931,15.729999999999999,15.43,15.129999999999999,12.83,9.629999999999999,7.03,6.83,7.530000000000001,9.23,12.13,14.73,15.73
