,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,16.1,16.6,15.4,13.7,9.8,6.6,5.8,8.3,10.7,11.3,14.6,17.2
2011,16.5,16.9,15.1,11.3,11.3,8.0,5.9,6.6,8.8,11.2,12.9,15.1
2012,15.8,15.7,13.4,12.3,9.1,5.5,6.5,9.0,10.0,11.2,11.5,16.6
2013,17.6,16.2,16.1,12.3,9.8,7.0,7.8,9.6,9.5,12.4,14.3,16.4
2014,15.8,17.0,13.9,12.7,10.3,8.4,6.7,7.6,9.6,11.9,13.7,15.5
2015,18.2,16.9,15.7,13.6,10.1,7.3,6.6,7.2,8.7,12.3,13.7,15.4
2016,16.2,19.2,16.2,13.1,12.5,8.8,7.0,6.9,10.4,12.0,14.1,15.7
2017,17.2,17.2,15.0,12.3,8.3,7.1,6.2,8.8,10.6,12.3,14.4,17.8
2018,19.3,17.2,16.1,11.9,9.8,7.2,7.7,8.2,9.6,11.4,13.4,15.9
2019,18.6,17.8,17.0,11.8,10.8,6.7,8.7,7.9,9.8,10.9,15.5,15.6
2020,17.1,17.6,14.1,13.1,10.1,8.2,6.9,8.9,10.6,13.4,14.0,15.5
2021,17.4,17.1,15.8,13.7,10.2,,,,,,,
