,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,17.9,18.8,16.9,14.2,11.6,8.9,7.5,9.5,10.6,12.2,15.6,17.9
2011,18.6,19.1,16.2,13.4,13.7,10.3,7.3,7.7,9.9,12.9,14.6,16.5
2012,17.7,17.6,15.5,13.6,10.2,7.8,8.2,9.9,10.6,12.5,13.9,17.9
2013,17.7,17.8,17.3,14.6,11.1,,8.1,10.2,11.4,13.4,16.2,17.7
2014,16.9,18.1,16.0,15.0,11.1,10.1,7.5,8.6,11.5,12.9,14.0,17.4
2015,19.2,17.8,17.5,14.4,10.7,8.8,7.4,8.5,10.3,13.8,14.2,16.8
2016,19.2,20.3,17.7,14.4,12.3,9.7,8.0,8.0,11.3,13.3,15.0,16.2
2017,17.5,18.2,17.4,14.3,10.4,8.8,8.1,9.6,11.3,13.8,15.5,19.4
2018,21.2,18.8,17.5,13.8,11.3,8.0,7.9,9.8,10.8,12.9,14.6,18.0
2019,20.6,18.6,18.0,13.7,12.3,8.2,8.7,8.6,10.5,12.3,15.3,16.5
2020,18.3,18.8,15.9,13.5,10.9,10.4,8.6,9.9,11.0,13.2,15.1,16.4
2021,17.8,17.7,16.1,14.4,11.5,,,,,,,
