,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1910-01-01,19.680000000000003,,16.47,18.65,,16.23,14.950000000000001
1910-02-01,20.78,,17.37,18.35,,17.43,15.05
1910-03-01,18.88,,16.07,16.15,,14.53,14.049999999999999
1910-04-01,14.68,,12.67,12.25,,11.030000000000001,10.149999999999999
1910-05-01,13.58,,11.67,10.55,,10.129999999999999,10.35
1910-06-01,11.98,,9.370000000000001,7.75,,6.7299999999999995,8.05
1910-07-01,10.58,,7.670000000000001,6.65,,4.93,4.85
1910-08-01,10.879999999999999,,9.07,7.950000000000001,,7.43,7.65
1910-09-01,11.88,,10.47,9.35,,9.93,9.45
1910-10-01,13.879999999999999,,12.37,12.15,,13.030000000000001,11.75
1910-11-01,15.98,,14.17,14.950000000000001,,14.73,13.65
1910-12-01,16.88,,15.17,15.850000000000001,,15.13,14.75
1911-01-01,18.380000000000003,,15.97,16.95,,15.43,14.25
1911-02-01,18.180000000000003,,14.97,16.75,,14.73,14.65
1911-03-01,18.479999999999997,,16.37,17.15,,15.83,15.45
1911-04-01,17.98,,15.57,15.549999999999999,,13.63,12.35
1911-05-01,13.680000000000001,,11.469999999999999,10.45,,8.629999999999999,9.149999999999999
1911-06-01,11.18,,9.670000000000002,8.25,,6.83,6.65
1911-07-01,10.08,,8.370000000000001,7.05,,4.63,5.6499999999999995
1911-08-01,10.68,,8.87,8.25,,7.7299999999999995,7.95
1911-09-01,11.68,,10.07,10.25,,9.03,8.25
1911-10-01,12.78,,11.37,11.25,,10.530000000000001,10.65
1911-11-01,14.080000000000002,,12.57,12.75,,12.13,10.75
1911-12-01,14.78,,13.370000000000001,13.75,,13.030000000000001,11.05
1912-01-01,16.98,,14.97,16.15,,14.53,13.350000000000001
1912-02-01,17.48,14.65,14.57,15.15,,13.33,12.15
1912-03-01,15.979999999999999,13.35,13.870000000000001,13.95,,12.229999999999999,10.75
1912-04-01,15.18,12.65,13.17,12.35,,11.930000000000001,10.149999999999999
1912-05-01,11.98,7.949999999999999,9.969999999999999,9.05,,7.33,7.949999999999999
1912-06-01,10.68,7.249999999999999,8.57,7.05,,5.63,6.25
1912-07-01,9.58,7.050000000000001,7.910000000000001,7.45,,5.33,5.75
1912-08-01,9.48,6.65,8.01,6.8500000000000005,,6.83,7.45
1912-09-01,12.180000000000001,10.65,11.01,10.05,10.3,9.23,9.65
1912-10-01,12.68,11.65,11.51,11.95,10.8,11.33,12.15
1912-11-01,13.780000000000001,11.950000000000001,12.31,13.850000000000001,12.0,12.23,11.75
1912-12-01,16.48,15.85,15.31,16.45,14.1,15.13,13.75
1913-01-01,17.98,18.65,16.31,17.55,13.8,16.23,14.46
1913-02-01,17.98,16.35,16.01,16.75,13.700000000000001,14.73,13.66
1913-03-01,17.779999999999998,15.65,15.31,16.549999999999997,14.2,14.83,12.459999999999999
1913-04-01,13.879999999999999,10.35,11.71,11.75,11.0,9.930000000000001,9.459999999999999
1913-05-01,10.680000000000001,6.35,8.309999999999999,7.949999999999999,7.0,6.529999999999999,7.159999999999999
1913-06-01,9.780000000000001,6.35,8.510000000000002,6.55,5.9,4.83,6.76
1913-07-01,10.28,7.050000000000001,8.91,7.45,7.4,6.63,7.06
1913-08-01,11.08,7.3500000000000005,8.91,8.350000000000001,7.8999999999999995,6.33,6.96
1913-09-01,11.98,10.65,11.41,11.05,10.4,10.83,10.26
1913-10-01,13.58,11.65,11.809999999999999,12.950000000000001,11.5,11.73,11.06
1913-11-01,14.98,12.65,13.21,13.65,12.3,12.030000000000001,10.86
1913-12-01,15.08,13.649999999999999,14.11,14.850000000000001,13.7,13.73,12.860000000000001
1914-01-01,18.98,18.25,17.51,18.25,15.0,17.63,15.76
1914-02-01,18.48,16.25,16.51,18.150000000000002,15.1,16.23,14.360000000000001
1914-03-01,17.58,14.15,15.21,16.15,14.8,14.53,13.66
1914-04-01,15.28,12.35,13.41,12.95,11.9,12.030000000000001,11.059999999999999
1914-05-01,11.580000000000002,8.049999999999999,9.309999999999999,9.05,8.200000000000001,6.93,7.059999999999999
1914-06-01,10.08,6.249999999999999,8.31,6.95,6.3,5.7299999999999995,6.66
1914-07-01,9.48,5.65,7.910000000000001,6.65,7.4,5.23,6.359999999999999
1914-08-01,9.78,6.75,8.41,7.050000000000001,7.1,6.43,7.56
1914-09-01,11.18,9.05,10.31,9.45,8.8,9.129999999999999,9.66
1914-10-01,12.479999999999999,11.35,12.209999999999999,11.65,10.100000000000001,12.030000000000001,11.360000000000001
1914-11-01,14.080000000000002,12.65,12.51,13.65,10.9,12.93,10.959999999999999
1914-12-01,15.18,13.35,13.31,13.850000000000001,10.899999999999999,13.73,12.06
1915-01-01,18.380000000000003,18.25,16.31,17.15,14.100000000000001,16.13,14.06
1915-02-01,17.78,16.45,15.61,15.950000000000001,13.0,15.030000000000001,13.06
1915-03-01,15.879999999999999,13.35,13.31,14.149999999999999,13.0,12.629999999999999,12.16
1915-04-01,14.28,10.85,12.11,11.75,10.4,10.330000000000002,10.16
1915-05-01,12.780000000000001,9.45,10.709999999999999,9.65,9.200000000000001,8.53,8.559999999999999
1915-06-01,11.48,7.249999999999999,8.91,7.25,7.1,5.33,6.0600000000000005
1915-07-01,10.88,7.65,9.010000000000002,7.3500000000000005,8.0,6.53,7.359999999999999
1915-08-01,11.18,8.15,8.51,8.05,8.1,6.43,8.26
1915-09-01,13.48,11.65,11.51,10.65,10.4,10.43,11.16
1915-10-01,14.479999999999999,13.25,13.01,12.75,12.100000000000001,12.83,12.16
1915-11-01,14.88,13.25,12.81,12.850000000000001,11.5,13.030000000000001,12.16
