,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,-2.09,-1.53,,-2.52,-1.8
1909-02-01,,,-1.57,0.78,,-1.32,1.75
1909-03-01,,,-0.64,-0.43,,0.08,0.54
1909-04-01,,,-0.51,-1.12,,-0.75,-0.91
1909-05-01,,,0.59,-0.89,,0.33,0.31
1909-06-01,,,1.22,-0.85,,0.58,-0.49
1909-07-01,,,-0.22,-2.01,,-1.07,-1.7
1909-08-01,,,0.56,-0.96,,0.17,-0.58
1909-09-01,,,-0.47,-0.56,,-1.52,-0.86
1909-10-01,,,0.12,-0.14,,-0.06,0.0
1909-11-01,,,0.47,1.44,,-0.23,0.48
1909-12-01,,,1.56,1.89,,2.08,3.24
1910-01-01,0.15,,-0.39,0.87,,-1.42,-0.2
1910-02-01,0.72,,0.53,0.58,,1.58,0.45
1910-03-01,0.2,,0.46,-0.23,,-1.02,1.74
1910-04-01,-1.43,,-0.72,-0.52,,-0.65,-0.11
1910-05-01,-0.3,,0.39,-1.29,,0.73,1.01
1910-06-01,-0.34,,-0.08,-1.55,,-0.42,0.81
1910-07-01,-0.31,,-0.82,-2.31,,-1.87,-2.8
1910-08-01,-0.13,,-0.24,-1.06,,0.57,0.72
1910-09-01,-0.63,,0.33,-0.46,,1.48,0.74
1910-10-01,-0.04,,0.12,-0.84,,2.94,1.6
1910-11-01,0.21,,1.27,1.14,,2.47,2.98
1910-12-01,-0.77,,0.16,0.29,,-0.52,1.84
1911-01-01,-0.45,,-0.49,0.07,,-1.02,0.1
1911-02-01,-1.08,,-1.47,-1.02,,-2.62,0.45
1911-03-01,-0.2,,0.36,0.47,,1.28,2.84
1911-04-01,1.57,,1.78,1.28,,0.85,0.49
1911-05-01,0.2,,0.59,-0.99,,-0.17,0.31
1911-06-01,-0.34,,0.12,-1.15,,-0.82,-1.59
1911-07-01,-0.31,,0.08,-1.91,,-1.77,-1.2
1911-08-01,-0.23,,-0.14,-1.06,,0.37,0.42
1911-09-01,-0.63,,-0.27,-0.96,,-0.52,-0.66
1911-10-01,-0.94,,-0.08,-1.24,,-0.16,0.4
1911-11-01,-1.49,,-0.63,-0.66,,-0.33,-1.02
1911-12-01,-2.97,,-1.54,-2.11,,-2.32,-2.16
1912-01-01,-2.55,,-1.69,-1.03,,-3.02,-1.2
1912-02-01,-2.18,-2.58,-2.37,-2.52,,-2.92,-2.15
1912-03-01,-2.7,-3.41,-1.84,-2.33,,-2.72,-2.46
1912-04-01,-1.43,-0.35,-0.01,-1.72,,0.05,-1.51
1912-05-01,-1.5,-2.43,-1.31,-2.79,,-2.87,-1.49
1912-06-01,-1.14,-1.65,-0.48,-1.85,,-1.72,-1.49
1912-07-01,-1.31,-2.25,-1.48,-1.41,,-2.57,-1.6
1912-08-01,-1.43,-1.34,-0.7,-2.26,,-0.63,0.12
1912-09-01,-0.63,-0.93,-0.33,-1.36,0.36,-1.12,-0.36
1912-10-01,-1.14,0.18,-0.64,0.06,-0.34,-0.26,2.1
1912-11-01,-1.89,-2.7,-1.59,-0.16,-1.23,-1.33,1.18
1912-12-01,-1.07,0.69,0.1,1.19,-0.4,0.68,1.84
1913-01-01,-1.35,0.47,-1.05,0.57,-2.16,0.48,0.3
1913-02-01,-1.78,-1.08,-1.52,-0.72,-2.42,-1.52,-0.45
1913-03-01,-0.3,0.29,-0.9,0.57,-1.09,0.58,-1.46
1913-04-01,-1.73,-2.95,-2.08,-1.22,-1.46,-1.75,-2.41
1913-05-01,-3.1,-4.03,-2.87,-2.89,-2.91,-3.67,-2.39
1913-06-01,-1.34,-1.35,-0.94,-1.95,-2.51,-1.62,-0.69
1913-07-01,-0.81,-0.15,0.22,-1.31,-1.24,0.03,-0.0
1913-08-01,-0.73,-2.14,-0.5,-1.16,-0.29,-2.03,-1.18
1913-09-01,-0.73,0.77,-0.03,0.04,-0.34,0.68,0.94
1913-10-01,-0.54,-0.12,-0.84,0.96,-0.14,0.84,0.7
1913-11-01,-0.69,-1.0,-0.09,-0.66,-0.33,-1.63,-1.82
1913-12-01,-2.77,-2.61,-1.1,-1.01,-0.7,-2.02,-0.96
1914-01-01,0.15,2.17,0.35,1.47,-1.26,1.68,1.1
1914-02-01,-1.68,-1.48,-0.83,0.58,-1.02,-0.12,-0.05
1914-03-01,-0.4,-1.71,-0.9,0.07,0.01,-0.32,0.04
