,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,-2.34,-1.94,,-2.65,-2.08
1909-02-01,,,-1.69,-0.23,,-1.03,0.87
1909-03-01,,,-0.44,-0.07,,0.28,0.37
1909-04-01,,,-0.7,-1.7,,-0.78,-1.14
1909-05-01,,,-0.01,-0.29,,0.59,0.57
1909-06-01,,,0.86,0.1,,0.51,0.2
1909-07-01,,,-0.01,-0.34,,-0.29,-0.56
1909-08-01,,,0.24,-0.46,,0.37,0.18
1909-09-01,,,-0.74,-0.02,,-0.87,-0.45
1909-10-01,,,-0.07,-0.54,,-0.15,-0.03
1909-11-01,,,0.16,0.27,,-0.18,0.4
1909-12-01,,,0.95,0.88,,1.25,2.04
1910-01-01,-0.08,,-0.44,0.86,,-0.65,-0.28
1910-02-01,0.61,,0.21,0.37,,0.77,0.07
1910-03-01,0.23,,0.26,-0.07,,-0.42,0.37
1910-04-01,-1.61,,-1.0,-1.2,,-1.18,-1.54
1910-05-01,-0.38,,-0.01,-0.29,,0.79,1.07
1910-06-01,0.15,,-0.34,-0.5,,0.01,0.8
1910-07-01,-0.34,,-1.21,-0.84,,-1.19,-1.66
1910-08-01,-0.72,,-0.36,-0.76,,-0.13,-0.02
1910-09-01,-1.17,,-0.34,-1.22,,0.33,-0.05
1910-10-01,-0.57,,0.43,-0.34,,1.55,0.87
1910-11-01,-0.21,,0.76,0.57,,1.42,1.3
1910-12-01,-1.48,,-0.25,-0.52,,-0.25,0.94
1911-01-01,-1.38,,-0.94,-0.84,,-1.45,-0.98
1911-02-01,-1.99,,-2.19,-1.23,,-1.93,-0.33
1911-03-01,-0.17,,0.56,0.93,,0.88,1.77
1911-04-01,1.69,,1.9,2.1,,1.42,0.66
1911-05-01,-0.28,,-0.21,-0.39,,-0.71,-0.13
1911-06-01,-0.65,,-0.04,0.0,,0.11,-0.6
1911-07-01,-0.84,,-0.51,-0.44,,-1.49,-0.86
1911-08-01,-0.92,,-0.56,-0.46,,0.17,0.28
1911-09-01,-1.37,,-0.74,-0.32,,-0.57,-1.25
1911-10-01,-1.67,,-0.57,-1.24,,-0.95,-0.23
1911-11-01,-2.11,,-0.84,-1.63,,-1.18,-1.6
1911-12-01,-3.58,,-2.05,-2.62,,-2.35,-2.76
1912-01-01,-2.78,,-1.94,-1.64,,-2.35,-1.88
1912-02-01,-2.69,-2.99,-2.59,-2.83,,-3.33,-2.83
1912-03-01,-2.67,-2.49,-1.94,-2.27,,-2.72,-2.93
1912-04-01,-1.11,-0.28,-0.5,-1.1,,-0.28,-1.54
1912-05-01,-1.98,-2.41,-1.71,-1.79,,-2.01,-1.33
1912-06-01,-1.15,-0.95,-1.14,-1.2,,-1.09,-1.0
1912-07-01,-1.34,-0.48,-0.97,-0.04,,-0.79,-0.76
1912-08-01,-2.12,-1.84,-1.42,-1.86,,-0.73,-0.22
1912-09-01,-0.87,0.32,0.2,-0.52,0.41,-0.37,0.15
1912-10-01,-1.77,-0.35,-0.43,-0.54,-0.33,-0.15,1.27
1912-11-01,-2.41,-1.7,-1.1,-0.53,-0.63,-1.08,-0.6
1912-12-01,-1.88,-0.26,-0.11,0.08,-0.26,-0.25,-0.06
1913-01-01,-1.78,0.95,-0.6,-0.24,-1.84,-0.65,-0.77
1913-02-01,-2.19,-1.29,-1.15,-1.23,-2.28,-1.93,-1.32
