,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,-2.5,-2.35,,-2.71,-2.37
1909-02-01,,,-1.9,-1.34,,-0.76,-0.01
1909-03-01,,,0.05,0.17,,0.32,0.07
1909-04-01,,,-1.0,-2.34,,-0.95,-1.4
1909-05-01,,,-0.5,0.31,,0.7,0.92
1909-06-01,,,0.52,0.98,,0.43,0.79
1909-07-01,,,0.22,1.43,,0.46,0.59
1909-08-01,,,-0.18,0.07,,0.57,0.94
1909-09-01,,,-1.13,0.54,,-0.15,-0.14
1909-10-01,,,-0.38,-0.95,,-0.38,-0.1
1909-11-01,,,-0.16,-0.8,,-0.28,0.21
1909-12-01,,,0.33,-0.11,,0.5,0.72
1910-01-01,-0.31,,-0.5,0.75,,-0.01,-0.47
1910-02-01,0.58,,-0.1,0.26,,-0.06,-0.31
1910-03-01,0.25,,-0.05,0.17,,0.12,-0.93
1910-04-01,-1.92,,-1.4,-1.74,,-1.75,-2.9
1910-05-01,-0.38,,-0.2,0.81,,0.9,1.22
1910-06-01,0.52,,-0.58,0.58,,0.43,0.69
1910-07-01,-0.28,,-1.68,0.53,,-0.44,-0.41
1910-08-01,-1.22,,-0.48,-0.33,,-0.73,-0.76
1910-09-01,-1.7,,-1.13,-1.96,,-0.85,-0.84
1910-10-01,-1.09,,0.62,0.05,,0.12,0.0
1910-11-01,-0.75,,0.34,0.1,,0.32,-0.39
1910-12-01,-2.17,,-0.67,-1.21,,0.0,-0.08
1911-01-01,-2.31,,-1.3,-1.85,,-1.81,-2.07
1911-02-01,-2.82,,-2.9,-1.44,,-1.36,-1.21
1911-03-01,-0.25,,0.65,1.37,,0.32,0.57
1911-04-01,1.78,,2.1,2.96,,2.05,0.8
1911-05-01,-0.78,,-1.0,0.21,,-1.4,-0.68
1911-06-01,-0.88,,-0.18,1.18,,1.03,0.49
1911-07-01,-1.28,,-1.08,1.03,,-1.14,-0.41
1911-08-01,-1.52,,-1.18,0.07,,-0.03,0.14
1911-09-01,-2.11,,-1.23,0.34,,-0.65,-1.84
1911-10-01,-2.3,,-1.18,-1.15,,-1.78,-1.0
1911-11-01,-2.75,,-0.96,-2.5,,-2.08,-2.19
1911-12-01,-4.17,,-2.57,-3.11,,-2.4,-3.48
1912-01-01,-3.11,,-2.2,-2.35,,-1.81,-2.57
1912-02-01,-3.12,-3.48,-2.7,-3.14,,-3.66,-3.61
1912-03-01,-2.65,-1.55,-2.15,-2.23,,-2.88,-3.33
1912-04-01,-0.92,-0.1,-1.0,-0.54,,-0.55,-1.5
1912-05-01,-2.48,-2.45,-2.1,-0.79,,-1.2,-1.18
1912-06-01,-1.18,-0.25,-1.68,-0.52,,-0.47,-0.51
1912-07-01,-1.28,1.18,-0.55,1.33,,1.06,0.19
1912-08-01,-2.72,-2.35,-2.05,-1.43,,-0.83,-0.56
1912-09-01,-1.1,1.56,0.8,0.34,0.58,0.35,0.76
1912-10-01,-2.3,-0.77,-0.15,-1.15,-0.3,0.02,0.4
1912-11-01,-2.85,-0.71,-0.53,-0.8,-0.01,-0.88,-2.29
1912-12-01,-2.57,-1.2,-0.54,-1.01,-0.11,-1.2,-1.98
1913-01-01,-2.21,1.37,-0.07,-0.95,-1.5,-1.71,-1.76
1913-02-01,-2.62,-1.48,-0.67,-1.64,-2.13,-2.26,-2.2
1913-03-01,-1.45,-0.55,-0.02,-0.03,0.51,-0.78,-1.02
1913-04-01,-3.12,-2.1,-1.97,-2.14,-1.32,-2.75,-2.19
1913-05-01,-3.48,-3.85,-3.77,-2.99,-3.41,-2.1,-1.97
1913-06-01,-2.68,-2.25,-1.55,-1.42,-1.9,-2.17,-0.4
1913-07-01,-0.38,-0.92,-0.05,1.23,1.21,0.96,1.1
1913-08-01,-0.32,-0.15,-0.45,0.37,-0.51,-0.43,-0.15
1913-09-01,-1.41,-0.14,1.1,0.94,1.48,1.75,0.47
1913-10-01,-1.3,-0.47,0.55,0.05,0.9,-0.38,-0.39
