,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
2010-01-01,19.9,17.52,15.84,17.9,15.8,16.1,14.3
2010-02-01,21.6,18.02,17.14,18.8,16.5,16.6,15.7
2010-03-01,19.1,15.92,15.94,16.9,14.1,15.4,15.0
2010-04-01,16.9,14.020000000000001,14.74,14.2,13.3,13.7,12.8
2010-05-01,14.3,11.120000000000001,11.84,11.6,10.6,9.8,9.8
2010-06-01,12.1,8.42,9.54,8.9,8.5,6.6,7.3
2010-07-01,10.6,6.819999999999999,8.139999999999999,7.5,7.7,5.8,6.8
2010-08-01,12.4,9.620000000000001,10.04,9.5,9.5,8.3,8.0
2010-09-01,13.6,11.620000000000001,11.34,10.6,9.3,10.7,9.4
2010-10-01,14.2,11.020000000000001,11.24,12.2,10.7,11.3,11.3
2010-11-01,16.8,14.82,14.139999999999999,15.6,13.5,14.6,14.1
2010-12-01,20.3,17.919999999999998,16.44,17.9,15.6,17.2,15.3
2011-01-01,20.6,18.22,16.740000000000002,18.6,16.1,16.5,14.9
2011-02-01,21.1,19.119999999999997,17.64,19.1,15.6,16.9,15.2
2011-03-01,18.8,15.92,15.639999999999999,16.2,14.2,15.1,14.3
2011-04-01,16.4,12.22,13.139999999999999,13.4,12.2,11.3,11.6
2011-05-01,15.4,12.22,13.639999999999999,13.7,12.2,11.3,11.0
2011-06-01,13.4,8.92,10.44,10.3,9.6,8.0,8.6
2011-07-01,11.5,7.919999999999999,8.84,7.3,7.1,5.9,6.7
2011-08-01,10.7,7.22,8.94,7.7,7.7,6.6,7.5
2011-09-01,12.3,8.620000000000001,10.139999999999999,9.9,8.9,8.8,9.4
2011-10-01,15.3,12.42,12.139999999999999,12.9,12.1,11.2,10.9
2011-11-01,16.2,13.22,13.44,14.6,12.3,12.9,12.0
2011-12-01,18.4,15.42,15.24,16.5,16.1,15.1,14.3
2012-01-01,19.0,16.119999999999997,15.94,17.7,15.0,15.8,15.0
2012-02-01,19.8,15.520000000000001,15.94,17.6,16.3,15.7,14.0
2012-03-01,17.8,14.22,14.24,15.5,14.3,13.4,12.5
2012-04-01,16.8,12.72,13.94,13.6,13.1,12.3,12.6
2012-05-01,13.4,9.020000000000001,10.639999999999999,10.2,9.9,9.1,9.2
2012-06-01,11.8,7.22,8.74,7.8,7.4,5.5,6.3
2012-07-01,11.2,8.020000000000001,9.24,8.2,8.5,6.5,7.5
2012-08-01,12.6,9.120000000000001,10.34,9.9,10.0,9.0,8.4
2012-09-01,13.2,10.22,11.139999999999999,10.6,10.0,10.0,10.5
2012-10-01,14.3,11.82,12.139999999999999,12.5,10.2,11.2,10.2
2012-11-01,15.6,12.42,12.74,13.9,11.6,11.5,11.5
2012-12-01,19.6,17.419999999999998,16.34,17.9,14.8,16.6,15.1
2013-01-01,20.3,17.52,17.14,17.7,14.9,17.6,15.8
2013-02-01,20.2,16.72,17.240000000000002,17.8,15.8,16.2,15.4
2013-03-01,19.8,16.119999999999997,16.740000000000002,17.3,15.6,16.1,14.9
2013-04-01,17.7,14.020000000000001,14.84,14.6,13.3,12.3,11.9
2013-05-01,14.1,10.72,11.84,11.1,10.7,9.8,9.7
2013-06-01,12.1,8.82,9.84,,8.9,7.0,7.4
2013-07-01,11.4,8.82,10.139999999999999,8.1,8.5,7.8,8.4
2013-08-01,12.6,10.32,11.04,10.2,10.1,9.6,9.5
2013-09-01,13.6,11.020000000000001,11.04,11.4,10.5,9.5,9.1
2013-10-01,15.1,12.82,12.639999999999999,13.4,11.2,12.4,12.1
2013-11-01,17.6,15.22,14.54,16.2,14.6,14.3,13.1
2013-12-01,18.6,17.119999999999997,16.64,17.7,15.2,16.4,13.8
2014-01-01,19.1,16.72,16.240000000000002,16.9,14.2,15.8,13.9
2014-02-01,20.4,17.72,17.040000000000003,18.1,15.6,17.0,14.7
2014-03-01,18.4,15.020000000000001,15.44,16.0,14.1,13.9,13.6
2014-04-01,18.0,13.92,14.639999999999999,15.0,14.3,12.7,12.2
2014-05-01,14.0,10.72,12.34,11.1,10.7,10.3,9.9
2014-06-01,13.2,9.32,11.44,10.1,10.4,8.4,8.7
2014-07-01,10.9,7.42,9.04,7.5,7.6,6.7,7.3
2014-08-01,11.8,7.72,9.139999999999999,8.6,7.9,7.6,7.5
2014-09-01,13.6,10.22,11.34,11.5,10.3,9.6,9.2
2014-10-01,14.6,11.42,12.54,12.9,11.0,11.9,10.5
2014-11-01,15.5,13.42,13.54,14.0,11.4,13.7,11.5
2014-12-01,18.4,15.820000000000002,15.44,17.4,15.6,15.5,14.0
2015-01-01,21.0,18.02,18.14,19.2,16.6,18.2,16.2
2015-02-01,20.2,16.419999999999998,16.740000000000002,17.8,15.5,16.9,14.7
2015-03-01,20.1,16.32,16.740000000000002,17.5,16.1,15.7,14.4
2015-04-01,17.0,13.32,14.139999999999999,14.4,13.7,13.6,11.7
2015-05-01,13.8,10.22,12.139999999999999,10.7,10.2,10.1,9.8
2015-06-01,12.4,7.72,9.74,8.8,8.2,7.3,7.2
2015-07-01,10.7,6.92,8.84,7.4,6.7,6.6,6.5
2015-08-01,11.5,8.020000000000001,9.34,8.5,8.4,7.2,6.7
2015-09-01,12.8,8.620000000000001,9.639999999999999,10.3,9.3,8.7,8.5
2015-10-01,14.7,11.520000000000001,12.44,13.8,11.2,12.3,11.7
2015-11-01,16.2,12.72,13.04,14.2,12.8,13.7,12.0
2015-12-01,18.4,14.82,14.94,16.8,13.8,15.4,14.7
2016-01-01,20.9,18.22,17.540000000000003,19.2,16.7,16.2,14.3
2016-02-01,21.9,19.52,19.540000000000003,20.3,18.1,19.2,17.7
2016-03-01,20.1,16.619999999999997,17.14,17.7,16.1,16.2,14.8
2016-04-01,17.4,,14.94,14.4,12.9,13.1,13.2
2016-05-01,16.3,,13.74,12.3,11.6,12.5,11.1
2016-06-01,12.8,9.520000000000001,11.44,9.7,9.8,8.8,9.0
2016-07-01,11.7,8.72,10.04,8.0,7.6,7.0,7.0
2016-08-01,11.4,7.72,9.139999999999999,8.0,7.8,6.9,7.2
2016-09-01,13.8,10.620000000000001,10.94,11.3,10.8,10.4,9.1
2016-10-01,15.1,12.22,12.44,13.3,12.2,12.0,11.8
2016-11-01,16.5,13.82,13.74,15.0,13.0,14.1,12.5
2016-12-01,18.0,15.020000000000001,15.04,16.2,13.7,15.7,14.1
2017-01-01,19.3,16.72,15.94,17.5,14.1,17.2,14.1
2017-02-01,20.5,16.72,16.94,18.2,15.6,17.2,15.0
2017-03-01,19.7,15.42,15.639999999999999,17.4,15.4,15.0,13.4
2017-04-01,17.7,13.120000000000001,14.139999999999999,14.3,13.6,12.3,12.6
2017-05-01,13.8,9.82,11.34,10.4,10.7,8.3,9.0
2017-06-01,12.1,7.52,9.639999999999999,8.8,8.7,7.1,7.5
2017-07-01,11.2,7.02,8.94,8.1,7.7,6.2,6.1
2017-08-01,12.7,9.72,10.639999999999999,9.6,10.1,8.8,9.0
2017-09-01,13.8,10.72,11.24,11.3,10.3,10.6,10.5
2017-10-01,15.3,12.620000000000001,13.24,13.8,12.1,12.3,11.7
2017-11-01,17.0,14.22,14.639999999999999,15.5,14.1,14.4,13.6
2017-12-01,20.5,17.919999999999998,17.84,19.4,16.5,17.8,16.6
2018-01-01,22.5,20.82,20.34,21.2,19.7,19.3,18.1
2018-02-01,21.1,18.619999999999997,18.34,18.8,16.8,17.2,15.4
2018-03-01,19.9,16.32,17.040000000000003,17.5,16.3,16.1,15.3
2018-04-01,17.2,12.82,14.04,13.8,11.9,11.9,11.7
2018-05-01,14.8,10.82,12.04,11.3,10.2,9.8,9.1
2018-06-01,11.6,8.22,9.44,8.0,8.3,7.2,7.2
2018-07-01,11.3,8.82,10.139999999999999,7.9,8.7,7.7,7.8
2018-08-01,12.1,9.620000000000001,10.74,9.8,8.9,8.2,8.5
2018-09-01,13.1,10.22,10.639999999999999,10.8,9.7,9.6,9.5
2018-10-01,14.3,12.42,12.54,12.9,11.6,11.4,11.5
2018-11-01,16.4,14.72,14.04,14.6,13.5,13.4,12.7
2018-12-01,19.1,17.22,16.740000000000002,18.0,16.6,15.9,15.2
2019-01-01,21.1,19.72,18.84,20.6,16.1,18.6,17.0
2019-02-01,20.8,17.919999999999998,17.540000000000003,18.6,16.0,17.8,16.1
2019-03-01,20.1,17.32,17.040000000000003,18.0,16.8,17.0,16.6
2019-04-01,15.9,12.72,13.139999999999999,13.7,12.7,11.8,12.0
2019-05-01,15.0,12.22,13.639999999999999,12.3,11.9,10.8,11.8
2019-06-01,11.7,8.22,10.139999999999999,8.2,7.9,6.7,8.1
2019-07-01,12.1,9.42,10.74,8.7,8.6,8.7,8.4
2019-08-01,12.1,8.620000000000001,9.639999999999999,8.6,7.6,7.9,7.8
2019-09-01,13.3,10.32,10.74,10.5,9.5,9.8,9.1
2019-10-01,14.6,11.520000000000001,11.74,12.3,11.1,10.9,10.3
2019-11-01,17.4,15.92,14.84,15.3,13.2,15.5,14.6
2019-12-01,19.3,16.52,15.74,16.5,14.0,15.6,14.1
2020-01-01,19.9,17.72,16.44,18.3,15.7,17.1,15.3
2020-02-01,21.4,19.619999999999997,17.94,18.8,16.2,17.6,15.7
