,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,18.22,20.65,,19.7,17.15
1909-02-01,,,19.02,23.25,,20.4,20.35
1909-03-01,,,18.42,20.45,,20.3,17.85
1909-04-01,,,16.13,17.05,,16.7,14.45
1909-05-01,,,14.92,14.75,,14.7,13.05
1909-06-01,,,13.42,12.25,,12.2,10.15
1909-07-01,,,11.22,10.45,,9.8,8.35
1909-08-01,,,12.72,12.45,,12.5,10.65
1909-09-01,,,13.22,14.45,,13.2,12.35
1909-10-01,,,15.02,16.75,,16.6,14.75
1909-11-01,,,17.02,20.25,,18.3,16.65
1909-12-01,,,20.12,22.45,,22.6,20.55
1910-01-01,23.74,,19.92,23.05,,20.8,18.75
1910-02-01,24.74,,21.12,23.05,,23.3,19.05
1910-03-01,22.74,,19.52,20.65,,19.2,19.05
1910-04-01,18.64,,15.92,17.65,,16.8,15.25
1910-05-01,17.14,,14.72,14.35,,15.1,13.75
1910-06-01,14.94,,12.12,11.55,,11.2,11.45
1910-07-01,14.14,,10.62,10.15,,9.0,7.25
1910-08-01,14.84,,11.92,12.35,,12.9,11.95
1910-09-01,15.74,,14.02,14.55,,16.2,13.95
1910-10-01,17.64,,15.02,16.05,,19.6,16.35
1910-11-01,19.74,,17.82,19.95,,21.0,19.15
1910-12-01,21.04,,18.72,20.85,,20.0,19.15
1911-01-01,23.14,,19.82,22.25,,21.2,19.05
1911-02-01,22.94,,19.12,21.45,,19.1,19.05
1911-03-01,22.34,,19.42,21.35,,21.5,20.15
1911-04-01,21.64,,18.42,19.45,,18.3,15.85
1911-05-01,17.64,,14.92,14.65,,14.2,13.05
1911-06-01,14.94,,12.32,11.95,,10.8,9.05
1911-07-01,14.14,,11.52,10.55,,9.1,8.85
1911-08-01,14.74,,12.02,12.35,,12.7,11.65
1911-09-01,15.74,,13.42,14.05,,14.2,12.55
1911-10-01,16.74,,14.82,15.65,,16.5,15.15
1911-11-01,18.04,,15.92,18.15,,18.2,15.15
1911-12-01,18.84,,17.02,18.45,,18.2,15.15
1912-01-01,21.04,,18.62,21.15,,19.2,17.75
1912-02-01,21.84,21.55,18.22,19.95,,18.8,16.45
1912-03-01,19.84,18.55,17.22,18.55,,17.5,14.85
1912-04-01,18.64,18.45,16.63,16.45,,17.5,13.85
1912-05-01,15.94,13.35,13.02,12.85,,11.5,11.25
1912-06-01,14.14,11.55,11.72,11.25,,9.9,9.15
1912-07-01,13.14,10.15,9.96,11.05,,8.3,8.45
1912-08-01,13.54,12.15,11.46,11.15,,11.7,11.35
1912-09-01,15.74,14.75,13.36,13.65,14.2,13.6,12.85
1912-10-01,16.54,17.65,14.26,16.95,14.6,16.4,16.85
1912-11-01,17.64,16.75,14.96,18.65,15.2,17.2,17.35
1912-12-01,20.74,22.65,18.66,21.75,17.6,21.2,19.15
1913-01-01,22.24,24.65,19.26,22.75,17.3,22.7,19.25
1913-02-01,22.24,23.05,19.07,21.75,17.5,20.2,18.15
1913-03-01,22.24,22.25,18.16,21.45,17.5,20.8,15.85
1913-04-01,18.34,15.85,14.56,16.95,15.0,15.7,12.95
1913-05-01,14.34,11.75,11.46,12.75,11.4,10.7,10.35
1913-06-01,13.94,11.85,11.26,11.15,9.8,10.0,9.95
1913-07-01,13.64,12.25,11.66,11.15,10.7,10.9,10.05
1913-08-01,14.24,11.35,11.66,12.25,12.3,10.3,10.05
1913-09-01,15.64,16.45,13.66,15.05,13.5,15.4,14.15
1913-10-01,17.14,17.35,14.06,17.85,14.8,17.5,15.45
1913-11-01,18.84,18.45,16.46,18.15,16.1,16.9,14.35
1913-12-01,19.04,19.35,17.46,19.55,17.3,18.5,16.35
1914-01-01,23.74,26.35,20.66,23.65,18.2,23.9,20.05
1914-02-01,22.34,22.65,19.76,23.05,18.9,21.6,18.55
1914-03-01,22.14,20.25,18.16,20.95,18.6,19.9,17.35
1914-04-01,19.34,18.05,16.07,17.25,15.8,16.7,14.45
1914-05-01,15.24,12.25,11.96,13.45,13.0,11.3,10.85
1914-06-01,13.34,11.25,11.46,11.25,10.8,10.0,9.55
1914-07-01,13.24,11.75,10.56,10.95,10.9,10.1,9.25
1914-08-01,13.54,13.15,11.96,11.95,11.4,11.9,11.35
1914-09-01,14.94,16.15,13.76,14.45,12.8,14.7,14.25
1914-10-01,16.64,18.35,15.16,16.55,13.6,18.9,16.65
1914-11-01,18.04,19.45,15.16,18.25,13.7,18.9,15.35
1914-12-01,19.54,19.55,16.26,19.45,14.4,20.3,16.55
1915-01-01,22.84,25.95,19.46,21.75,17.1,21.8,18.45
1915-02-01,22.04,22.75,18.66,19.95,16.0,20.4,17.15
1915-03-01,19.74,17.45,15.56,17.65,16.8,17.3,15.95
1915-04-01,18.24,17.35,15.46,16.25,14.3,16.3,13.85
1915-05-01,16.14,14.35,13.96,13.05,13.2,13.4,11.65
1915-06-01,15.14,11.75,11.56,10.75,11.3,9.7,9.15
1915-07-01,14.54,12.15,11.66,10.05,11.9,12.1,10.65
1915-08-01,14.74,12.95,12.06,11.65,12.8,11.3,11.55
1915-09-01,16.94,16.55,14.16,14.05,13.7,16.4,15.85
1915-10-01,18.24,19.55,15.66,16.65,15.1,18.7,15.95
1915-11-01,18.74,18.85,15.46,17.35,14.5,19.2,16.55
1915-12-01,21.14,22.85,18.46,20.05,17.0,21.7,17.95
1916-01-01,22.04,23.65,20.06,21.75,18.6,21.8,18.85
