,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,14.57,15.85,,14.23,13.15
1909-02-01,,,15.47,17.75,,15.63,15.85
1909-03-01,,,15.37,16.15,,15.23,14.05
1909-04-01,,,12.97,11.75,,11.43,10.55
1909-05-01,,,11.67,10.55,,9.93,9.85
1909-06-01,,,10.57,8.35,,7.23,7.45
1909-07-01,,,8.87,7.15,,5.83,5.95
1909-08-01,,,9.67,8.25,,7.93,7.85
1909-09-01,,,10.07,10.55,,8.73,9.05
1909-10-01,,,11.87,11.95,,11.33,10.85
1909-11-01,,,13.57,14.65,,13.13,12.75
1909-12-01,,,16.37,17.25,,16.63,15.85
1910-01-01,19.68,,16.47,18.65,,16.23,14.95
1910-02-01,20.78,,17.37,18.35,,17.43,15.05
1910-03-01,18.88,,16.07,16.15,,14.53,14.05
1910-04-01,14.68,,12.67,12.25,,11.03,10.15
1910-05-01,13.58,,11.67,10.55,,10.13,10.35
1910-06-01,11.98,,9.37,7.75,,6.73,8.05
1910-07-01,10.58,,7.67,6.65,,4.93,4.85
1910-08-01,10.88,,9.07,7.95,,7.43,7.65
1910-09-01,11.88,,10.47,9.35,,9.93,9.45
1910-10-01,13.88,,12.37,12.15,,13.03,11.75
1910-11-01,15.98,,14.17,14.95,,14.73,13.65
1910-12-01,16.88,,15.17,15.85,,15.13,14.75
1911-01-01,18.38,,15.97,16.95,,15.43,14.25
1911-02-01,18.18,,14.97,16.75,,14.73,14.65
1911-03-01,18.48,,16.37,17.15,,15.83,15.45
1911-04-01,17.98,,15.57,15.55,,13.63,12.35
1911-05-01,13.68,,11.47,10.45,,8.63,9.15
1911-06-01,11.18,,9.67,8.25,,6.83,6.65
1911-07-01,10.08,,8.37,7.05,,4.63,5.65
1911-08-01,10.68,,8.87,8.25,,7.73,7.95
1911-09-01,11.68,,10.07,10.25,,9.03,8.25
1911-10-01,12.78,,11.37,11.25,,10.53,10.65
1911-11-01,14.08,,12.57,12.75,,12.13,10.75
1911-12-01,14.78,,13.37,13.75,,13.03,11.05
1912-01-01,16.98,,14.97,16.15,,14.53,13.35
1912-02-01,17.48,14.65,14.57,15.15,,13.33,12.15
1912-03-01,15.98,13.35,13.87,13.95,,12.23,10.75
1912-04-01,15.18,12.65,13.17,12.35,,11.93,10.15
1912-05-01,11.98,7.95,9.97,9.05,,7.33,7.95
1912-06-01,10.68,7.25,8.57,7.05,,5.63,6.25
1912-07-01,9.58,7.05,7.91,7.45,,5.33,5.75
1912-08-01,9.48,6.65,8.01,6.85,,6.83,7.45
1912-09-01,12.18,10.65,11.01,10.05,10.3,9.23,9.65
1912-10-01,12.68,11.65,11.51,11.95,10.8,11.33,12.15
1912-11-01,13.78,11.95,12.31,13.85,12.0,12.23,11.75
1912-12-01,16.48,15.85,15.31,16.45,14.1,15.13,13.75
1913-01-01,17.98,18.65,16.31,17.55,13.8,16.23,14.46
1913-02-01,17.98,16.35,16.01,16.75,13.7,14.73,13.66
1913-03-01,17.78,15.65,15.31,16.55,14.2,14.83,12.46
1913-04-01,13.88,10.35,11.71,11.75,11.0,9.93,9.46
1913-05-01,10.68,6.35,8.31,7.95,7.0,6.53,7.16
1913-06-01,9.78,6.35,8.51,6.55,5.9,4.83,6.76
1913-07-01,10.28,7.05,8.91,7.45,7.4,6.63,7.06
1913-08-01,11.08,7.35,8.91,8.35,7.9,6.33,6.96
1913-09-01,11.98,10.65,11.41,11.05,10.4,10.83,10.26
1913-10-01,13.58,11.65,11.81,12.95,11.5,11.73,11.06
1913-11-01,14.98,12.65,13.21,13.65,12.3,12.03,10.86
1913-12-01,15.08,13.65,14.11,14.85,13.7,13.73,12.86
1914-01-01,18.98,18.25,17.51,18.25,15.0,17.63,15.76
1914-02-01,18.48,16.25,16.51,18.15,15.1,16.23,14.36
1914-03-01,17.58,14.15,15.21,16.15,14.8,14.53,13.66
1914-04-01,15.28,12.35,13.41,12.95,11.9,12.03,11.06
1914-05-01,11.58,8.05,9.31,9.05,8.2,6.93,7.06
1914-06-01,10.08,6.25,8.31,6.95,6.3,5.73,6.66
1914-07-01,9.48,5.65,7.91,6.65,7.4,5.23,6.36
1914-08-01,9.78,6.75,8.41,7.05,7.1,6.43,7.56
1914-09-01,11.18,9.05,10.31,9.45,8.8,9.13,9.66
1914-10-01,12.48,11.35,12.21,11.65,10.1,12.03,11.36
1914-11-01,14.08,12.65,12.51,13.65,10.9,12.93,10.96
1914-12-01,15.18,13.35,13.31,13.85,10.9,13.73,12.06
1915-01-01,18.38,18.25,16.31,17.15,14.1,16.13,14.06
1915-02-01,17.78,16.45,15.61,15.95,13.0,15.03,13.06
1915-03-01,15.88,13.35,13.31,14.15,13.0,12.63,12.16
1915-04-01,14.28,10.85,12.11,11.75,10.4,10.33,10.16
1915-05-01,12.78,9.45,10.71,9.65,9.2,8.53,8.56
1915-06-01,11.48,7.25,8.91,7.25,7.1,5.33,6.06
1915-07-01,10.88,7.65,9.01,7.35,8.0,6.53,7.36
1915-08-01,11.18,8.15,8.51,8.05,8.1,6.43,8.26
1915-09-01,13.48,11.65,11.51,10.65,10.4,10.43,11.16
1915-10-01,14.48,13.25,13.01,12.75,12.1,12.83,12.16
1915-11-01,14.88,13.25,12.81,12.85,11.5,13.03,12.16
1915-12-01,16.78,16.85,15.51,16.05,13.9,16.25,13.76
1916-01-01,17.98,17.45,16.71,17.45,15.0,16.05,14.16
1916-02-01,20.08,19.15,15.91,19.05,16.4,17.25,15.66
1916-03-01,19.28,18.65,18.01,17.95,17.1,16.35,14.76
1916-04-01,15.88,13.55,14.21,14.15,12.8,12.85,12.66
1916-05-01,14.18,11.25,11.81,11.45,10.2,9.05,9.36
1916-06-01,13.08,8.95,10.71,9.65,9.8,8.25,8.76
1916-07-01,11.38,7.75,8.61,8.45,8.0,6.25,6.06
1916-08-01,11.18,8.05,8.61,7.65,8.1,6.65,7.26
1916-09-01,12.28,10.65,10.51,9.85,9.2,9.85,10.06
1916-10-01,13.78,11.75,11.21,12.25,11.7,11.35,10.66
1916-11-01,15.88,14.85,14.01,14.55,14.0,14.75,12.96
1916-12-01,18.18,16.85,16.51,17.95,15.2,17.65,15.66
1917-01-01,19.08,18.25,17.51,18.95,16.4,16.95,16.76
1917-02-01,17.98,16.85,16.71,16.95,14.5,16.15,14.36
1917-03-01,17.18,15.55,15.81,16.35,14.8,15.35,14.46
1917-04-01,16.28,14.85,14.51,14.35,13.7,12.85,11.86
1917-05-01,14.08,11.85,11.91,11.55,11.1,9.85,10.16
1917-06-01,12.18,8.35,9.71,8.25,8.5,6.75,7.66
1917-07-01,11.58,8.85,9.51,8.35,8.5,7.15,7.36
1917-08-01,10.58,8.35,8.91,8.15,7.6,6.55,7.46
1917-09-01,12.28,11.85,11.41,11.15,10.8,10.25,10.16
1917-10-01,14.18,12.75,12.41,12.45,11.0,12.05,11.26
1917-11-01,16.08,14.55,13.71,15.45,13.6,13.95,13.46
1917-12-01,16.88,15.45,15.31,16.25,14.3,13.35,12.76
1918-01-01,18.78,17.65,16.91,17.85,16.0,15.85,14.76
1918-02-01,19.38,18.25,17.81,17.95,17.0,17.15,16.16
1918-03-01,18.08,14.85,15.21,16.85,15.3,14.05,14.06
1918-04-01,16.48,13.35,13.71,13.85,12.9,11.55,10.86
1918-05-01,13.18,9.75,11.21,9.45,8.8,9.25,8.86
1918-06-01,11.68,8.05,9.31,8.05,6.9,6.15,6.66
1918-07-01,9.08,5.25,6.61,5.75,5.1,4.25,4.66
1918-08-01,10.28,8.15,8.61,7.75,7.1,6.85,6.76
1918-09-01,11.08,9.15,9.81,8.75,9.1,8.25,8.46
1918-10-01,13.28,11.85,11.81,11.05,10.8,11.45,10.66
1918-11-01,14.28,12.65,12.31,12.75,11.2,12.25,10.66
1918-12-01,15.08,14.05,13.31,13.85,12.3,13.55,11.86
1919-01-01,16.48,16.65,14.81,15.55,12.8,14.55,12.66
1919-02-01,19.18,17.85,16.41,17.85,15.7,15.95,14.26
1919-03-01,16.78,14.55,14.81,14.75,13.1,14.55,13.16
1919-04-01,14.08,11.35,12.01,11.85,11.0,11.35,10.16
1919-05-01,12.18,8.85,10.01,9.25,7.7,8.55,7.96
1919-06-01,10.78,7.35,8.51,7.15,6.8,6.65,7.46
1919-07-01,10.18,7.35,7.91,6.55,6.4,6.75,7.06
1919-08-01,9.78,8.15,9.01,8.15,8.0,7.55,7.36
1919-09-01,10.48,8.75,9.31,8.85,8.2,8.25,8.56
1919-10-01,12.48,11.95,11.51,12.15,10.4,11.25,10.66
1919-11-01,13.08,12.45,11.71,12.85,10.7,11.65,10.86
1919-12-01,15.68,14.65,13.51,14.75,11.9,13.45,12.76
1920-01-01,17.08,15.65,14.61,15.25,13.1,14.35,12.76
1920-02-01,18.78,17.75,16.51,17.35,15.7,15.05,15.26
1920-03-01,17.18,15.35,15.31,14.95,13.3,14.65,13.66
1920-04-01,15.08,12.75,13.01,12.95,12.1,11.55,11.66
1920-05-01,11.98,8.46,9.41,8.15,7.0,7.55,7.46
1920-06-01,11.48,8.86,8.21,7.55,6.1,7.15,7.66
1920-07-01,9.78,7.26,7.91,6.75,6.7,7.15,7.76
1920-08-01,10.28,6.96,7.41,7.05,7.1,5.95,5.56
1920-09-01,11.58,8.76,9.01,9.25,9.8,7.45,7.66
1920-10-01,13.48,11.66,11.31,11.55,11.1,11.55,11.06
1920-11-01,14.48,12.76,12.01,12.15,10.5,12.45,10.66
1920-12-01,16.58,15.96,14.81,16.23,13.1,15.05,14.16
1921-01-01,17.98,16.76,15.91,16.83,14.8,15.25,14.16
1921-02-01,17.98,15.96,15.81,16.33,14.9,15.35,13.96
1921-03-01,17.28,15.26,14.81,14.83,13.0,13.95,13.06
1921-04-01,14.48,10.86,11.61,12.03,10.8,10.55,10.06
1921-05-01,12.78,9.66,10.51,9.23,9.4,9.35,9.26
1921-06-01,12.08,8.56,9.41,8.73,8.0,7.05,7.36
1921-07-01,10.28,7.66,8.21,7.23,7.1,6.65,6.76
1921-08-01,10.78,8.16,8.51,8.43,7.2,7.55,6.76
1921-09-01,12.28,10.36,10.31,11.03,9.7,9.75,10.16
1921-10-01,13.98,12.46,11.81,12.53,11.5,11.25,9.76
1921-11-01,14.68,12.46,12.21,13.93,11.7,13.25,12.36
1921-12-01,16.68,15.46,14.51,15.23,13.1,14.05,12.46
1922-01-01,19.28,15.76,15.51,17.13,16.5,15.55,14.36
1922-02-01,18.88,16.86,16.81,17.43,16.6,16.55,15.16
1922-03-01,17.28,14.66,14.81,14.43,12.5,12.65,11.16
1922-04-01,15.68,12.46,13.31,13.43,11.8,11.45,11.26
1922-05-01,13.58,9.86,10.41,10.93,10.0,8.35,9.06
1922-06-01,10.48,6.46,7.91,7.63,6.7,4.95,5.66
1922-07-01,10.08,6.46,8.01,7.03,6.6,4.85,6.06
1922-08-01,10.98,7.86,9.21,8.43,8.1,6.75,7.56
1922-09-01,11.78,8.96,10.21,9.53,9.4,9.25,9.26
1922-10-01,14.28,13.36,13.01,13.43,11.6,13.55,12.46
1922-11-01,15.28,14.16,13.41,14.03,10.5,13.05,11.86
1922-12-01,17.18,16.26,15.81,16.23,13.5,14.85,13.46
1923-01-01,18.08,16.46,16.91,17.03,16.3,16.25,14.76
1923-02-01,17.28,15.56,15.61,15.63,13.0,15.15,12.36
1923-03-01,16.18,14.06,14.41,14.23,12.3,13.05,12.66
1923-04-01,13.78,10.36,11.71,12.03,10.1,9.25,9.56
1923-05-01,13.78,10.76,11.31,10.63,9.9,8.15,8.56
1923-06-01,11.38,7.46,8.21,7.83,6.9,5.55,5.56
1923-07-01,9.48,6.46,7.61,7.23,5.6,4.55,5.76
1923-08-01,9.48,6.56,7.31,7.03,6.1,6.25,7.76
1923-09-01,11.98,10.26,10.41,10.73,9.6,9.95,10.46
1923-10-01,13.48,11.46,11.81,12.73,11.2,11.15,11.36
1923-11-01,15.98,15.06,14.91,14.73,13.1,15.38,15.06
1923-12-01,18.48,17.76,16.61,17.13,14.0,17.68,15.46
1924-01-01,19.18,18.76,17.21,17.63,15.0,17.38,15.86
1924-02-01,19.78,17.96,17.51,17.93,16.1,17.58,16.56
1924-03-01,18.98,16.26,15.81,16.93,16.4,13.88,14.26
1924-04-01,18.08,15.36,15.91,15.53,14.7,14.78,14.06
1924-05-01,13.68,9.56,10.81,10.83,9.7,8.08,9.26
1924-06-01,11.18,8.36,9.21,8.13,7.8,6.48,7.16
1924-07-01,9.98,6.76,8.01,6.93,6.3,5.48,7.06
1924-08-01,10.68,7.96,9.01,8.73,8.2,6.98,8.46
1924-09-01,12.48,11.06,11.51,10.63,10.2,11.98,11.46
1924-10-01,13.78,12.66,13.11,13.13,12.0,13.28,11.86
1924-11-01,15.58,14.06,13.91,14.03,13.3,13.78,13.76
1924-12-01,16.18,15.06,14.41,15.23,14.0,13.48,13.66
1925-01-01,18.68,16.96,16.51,17.63,16.2,15.48,14.76
