,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
1909-01-01,,,11.01,11.08,,8.83,9.13
1909-02-01,,,11.81,12.18,,10.83,11.33
1909-03-01,,,12.61,11.78,,10.03,10.13
1909-04-01,,,9.71,6.38,,6.03,6.63
1909-05-01,,,8.51,6.38,,5.03,6.73
1909-06-01,,,7.71,4.38,,2.23,4.63
1909-07-01,,,6.51,3.98,,1.83,3.53
1909-08-01,,,6.51,4.08,,3.33,5.03
1909-09-01,,,6.81,6.68,,4.33,5.63
1909-10-01,,,8.61,7.18,,5.93,6.93
1909-11-01,,,10.11,9.18,,7.83,8.73
1909-12-01,,,12.61,12.08,,10.73,11.03
1910-01-01,15.61,,13.01,14.18,,11.53,11.03
1910-02-01,16.91,,13.61,13.78,,11.53,11.03
1910-03-01,15.01,,12.51,11.78,,9.83,9.13
1910-04-01,10.61,,9.31,6.98,,5.23,5.13
1910-05-01,10.11,,8.81,6.88,,5.23,7.03
1910-06-01,8.91,,6.61,3.98,,2.23,4.53
1910-07-01,7.11,,4.61,3.08,,0.93,2.53
1910-08-01,7.01,,6.21,3.68,,2.03,3.33
1910-09-01,8.02,,6.81,4.18,,3.63,4.93
1910-10-01,10.11,,9.61,8.18,,6.43,7.03
1910-11-01,12.11,,10.61,10.08,,8.43,8.13
1910-12-01,12.71,,11.61,10.98,,10.23,10.23
1911-01-01,13.61,,12.21,11.58,,9.73,9.43
1911-02-01,13.51,,10.81,12.08,,10.23,10.13
1911-03-01,14.51,,13.21,12.98,,10.03,10.63
1911-04-01,14.31,,12.81,11.68,,9.03,8.83
1911-05-01,9.71,,8.01,6.28,,2.93,5.13
1911-06-01,7.51,,7.01,4.58,,2.83,4.33
1911-07-01,6.11,,5.21,3.58,,0.23,2.53
1911-08-01,6.71,,5.51,4.08,,2.73,4.23
1911-09-01,7.61,,6.71,6.48,,3.83,3.93
1911-10-01,8.9,,7.81,6.98,,4.53,6.03
1911-11-01,10.11,,9.31,7.48,,6.03,6.33
