,Auckland,Masterton,Wellington,Nelson,Hokitika,Lincoln,Dunedin
2010-01-01,19.9,17.8,15.9,17.9,15.8,16.1,14.3
2010-02-01,21.6,18.3,17.2,18.8,16.5,16.6,15.7
2010-03-01,19.1,16.2,16.0,16.9,14.1,15.4,15.0
2010-04-01,16.9,14.3,14.8,14.2,13.3,13.7,12.8
2010-05-01,14.3,11.4,11.9,11.6,10.6,9.8,9.8
2010-06-01,12.1,8.7,9.6,8.9,8.5,6.6,7.3
2010-07-01,10.6,7.1,8.2,7.5,7.7,5.8,6.8
2010-08-01,12.4,9.9,10.1,9.5,9.5,8.3,8.0
2010-09-01,13.6,11.9,11.4,10.6,9.3,10.7,9.4
2010-10-01,14.2,11.3,11.3,12.2,10.7,11.3,11.3
2010-11-01,16.8,15.1,14.2,15.6,13.5,14.6,14.1
2010-12-01,20.3,18.2,16.5,17.9,15.6,17.2,15.3
2011-01-01,20.6,18.5,16.8,18.6,16.1,16.5,14.9
2011-02-01,21.1,19.4,17.7,19.1,15.6,16.9,15.2
2011-03-01,18.8,16.2,15.7,16.2,14.2,15.1,14.3
2011-04-01,16.4,12.5,13.2,13.4,12.2,11.3,11.6
2011-05-01,15.4,12.5,13.7,13.7,12.2,11.3,11.0
2011-06-01,13.4,9.2,10.5,10.3,9.6,8.0,8.6
2011-07-01,11.5,8.2,8.9,7.3,7.1,5.9,6.7
2011-08-01,10.7,7.5,9.0,7.7,7.7,6.6,7.5
2011-09-01,12.3,8.9,10.2,9.9,8.9,8.8,9.4
2011-10-01,15.3,12.7,12.2,12.9,12.1,11.2,10.9
2011-11-01,16.2,13.5,13.5,14.6,12.3,12.9,12.0
2011-12-01,18.4,15.7,15.3,16.5,16.1,15.1,14.3
2012-01-01,19.0,16.4,16.0,17.7,15.0,15.8,15.0
2012-02-01,19.8,15.8,16.0,17.6,16.3,15.7,14.0
2012-03-01,17.8,14.5,14.3,15.5,14.3,13.4,12.5
2012-04-01,16.8,13.0,14.0,13.6,13.1,12.3,12.6
2012-05-01,13.4,9.3,10.7,10.2,9.9,9.1,9.2
2012-06-01,11.8,7.5,8.8,7.8,7.4,5.5,6.3
2012-07-01,11.2,8.3,9.3,8.2,8.5,6.5,7.5
2012-08-01,12.6,9.4,10.4,9.9,10.0,9.0,8.4
2012-09-01,13.2,10.5,11.2,10.6,10.0,10.0,10.5
2012-10-01,14.3,12.1,12.2,12.5,10.2,11.2,10.2
2012-11-01,15.6,12.7,12.8,13.9,11.6,11.5,11.5
2012-12-01,19.6,17.7,16.4,17.9,14.8,16.6,15.1
2013-01-01,20.3,17.8,17.2,17.7,14.9,17.6,15.8
2013-02-01,20.2,17.0,17.3,17.8,15.8,16.2,15.4
2013-03-01,19.8,16.4,16.8,17.3,15.6,16.1,14.9
2013-04-01,17.7,14.3,14.9,14.6,13.3,12.3,11.9
2013-05-01,14.1,11.0,11.9,11.1,10.7,9.8,9.7
2013-06-01,12.1,9.1,9.9,,8.9,7.0,7.4
2013-07-01,11.4,9.1,10.2,8.1,8.5,7.8,8.4
2013-08-01,12.6,10.6,11.1,10.2,10.1,9.6,9.5
2013-09-01,13.6,11.3,11.1,11.4,10.5,9.5,9.1
2013-10-01,15.1,13.1,12.7,13.4,11.2,12.4,12.1
2013-11-01,17.6,15.5,14.6,16.2,14.6,14.3,13.1
2013-12-01,18.6,17.4,16.7,17.7,15.2,16.4,13.8
2014-01-01,19.1,17.0,16.3,16.9,14.2,15.8,13.9
2014-02-01,20.4,18.0,17.1,18.1,15.6,17.0,14.7
2014-03-01,18.4,15.3,15.5,16.0,14.1,13.9,13.6
2014-04-01,18.0,14.2,14.7,15.0,14.3,12.7,12.2
2014-05-01,14.0,11.0,12.4,11.1,10.7,10.3,9.9
2014-06-01,13.2,9.6,11.5,10.1,10.4,8.4,8.7
2014-07-01,10.9,7.7,9.1,7.5,7.6,6.7,7.3
2014-08-01,11.8,8.0,9.2,8.6,7.9,7.6,7.5
2014-09-01,13.6,10.5,11.4,11.5,10.3,9.6,9.2
2014-10-01,14.6,11.7,12.6,12.9,11.0,11.9,10.5
