,Z1,Z2,Z3,Z4,M1,M2,M3,MZ1,MZ2,MZ3,MZ4,ZN,ZS,SET
1940-01-01,23.0,,,6.0,-28.0,-23.0,-5.0,,,,,17.0,,-19.0
1940-02-01,92.0,,,155.0,55.0,48.0,,,,,,64.0,,15.0
1940-03-01,20.0,,,19.0,-89.0,44.0,21.0,,,,,5.0,,10.0
1940-04-01,-16.0,,,11.0,46.0,25.0,95.0,,,,,-11.0,,-24.0
1940-05-01,-3.0,,,55.0,115.0,20.0,-31.0,,,,,0.0,,-37.0
1940-06-01,15.0,,,25.0,3.0,34.0,-65.0,,,,,7.0,,42.0
1940-07-01,-20.0,,,-65.0,-69.0,-4.0,-31.0,,,,,-22.0,,3.0
1940-08-01,-26.0,,,-81.0,-50.0,-19.0,-1.0,,,,,-26.0,,19.0
1940-09-01,-16.0,,,-17.0,11.0,12.0,-19.0,,,,,-7.0,,18.0
1940-10-01,6.0,,,-19.0,-1.0,18.0,-4.0,,,,,-5.0,,-4.0
1940-11-01,-12.0,,,26.0,7.0,11.0,-64.0,,,,,-11.0,,-20.0
1940-12-01,9.0,,,12.0,-23.0,41.0,-19.0,,,,,2.0,,59.0
1941-01-01,3.0,,,1.0,6.0,-14.0,20.0,,,,,-5.0,,12.0
1941-02-01,41.0,,,25.0,6.0,31.0,-25.0,,,,,16.0,,65.0
1941-03-01,-12.0,,,3.0,-43.0,-11.0,-32.0,,,,,-12.0,,-8.0
1941-04-01,13.0,,,52.0,100.0,61.0,39.0,,,,,13.0,,-1.0
1941-05-01,24.0,,,-20.0,0.0,12.0,-12.0,,,,,2.0,,0.0
1941-06-01,-4.0,,,62.0,87.0,40.0,47.0,,,,,-5.0,,-51.0
1941-07-01,-5.0,-57.0,,-45.0,-83.0,-15.0,-68.0,,,,,-15.0,,12.0
1941-08-01,-35.0,-90.0,,-13.0,62.0,-4.0,66.0,,,,,-22.0,,-13.0
1941-09-01,9.0,-9.0,,-7.0,-42.0,25.0,-67.0,,,,,-5.0,,21.0
1941-10-01,-10.0,-32.0,,3.0,22.0,-4.0,26.0,,,,,-14.0,,-30.0
1941-11-01,52.0,7.0,,63.0,24.0,18.0,6.0,,,,,23.0,,19.0
1941-12-01,1.0,-15.0,,39.0,62.0,35.0,27.0,,,,,1.0,,-25.0
1942-01-01,20.0,6.0,,43.0,12.0,25.0,-13.0,,,,,12.0,,11.0
1942-02-01,-2.0,-63.0,,13.0,38.0,26.0,12.0,,,,,-4.0,,-2.0
1942-03-01,22.0,9.0,,44.0,-8.0,16.0,-24.0,,,,,6.0,,52.0
1942-04-01,42.0,40.0,,36.0,20.0,22.0,-2.0,,,,,20.0,,12.0
1942-05-01,3.0,-33.0,,,,-16.0,,,,,,-2.0,,-6.0
1942-06-01,-13.0,2.0,,48.0,10.0,6.0,-20.0,,,,,-24.0,,16.0
1942-07-01,21.0,15.0,,4.0,-79.0,30.0,-89.0,,,,,5.0,,26.0
1942-08-01,-5.0,8.0,,37.0,-30.0,10.0,-29.0,,,,,-14.0,,14.0
1942-09-01,34.0,-2.0,,4.0,3.0,-1.0,-17.0,,,,,17.0,,8.0
1942-10-01,4.0,-3.0,,-5.0,13.0,20.0,1.0,,,,,-3.0,,37.0
1942-11-01,14.0,8.0,,20.0,33.0,12.0,3.0,,,,,4.0,,-23.0
1942-12-01,12.0,45.0,,11.0,-14.0,30.0,-29.0,,,,,3.0,,-14.0
1943-01-01,-2.0,-27.0,,24.0,-10.0,23.0,-33.0,-22.0,,,,-2.0,,-18.0
1943-02-01,63.0,-23.0,,32.0,-3.0,-21.0,18.0,11.0,,,,34.0,,-27.0
1943-03-01,32.0,23.0,,32.0,31.0,45.0,-14.0,-12.0,,,,19.0,,-10.0
1943-04-01,20.0,2.0,,-11.0,-93.0,-13.0,-80.0,-14.0,,,,2.0,,-20.0
1943-05-01,-36.0,12.0,,-43.0,48.0,31.0,17.0,-37.0,,,,-35.0,,-46.0
1943-06-01,6.0,-45.0,,-18.0,-25.0,-46.0,21.0,7.0,,,,3.0,,-32.0
1943-07-01,0.0,-30.0,,31.0,-42.0,32.0,-74.0,-11.0,,,,-2.0,,-20.0
1943-08-01,-32.0,-13.0,,-23.0,51.0,6.0,45.0,-21.0,,,,-29.0,,-49.0
1943-09-01,-21.0,-52.0,,-20.0,9.0,-38.0,47.0,3.0,,,,3.0,,-27.0
1943-10-01,-34.0,-65.0,,-48.0,-14.0,-28.0,14.0,-1.0,,,,-25.0,,-17.0
1943-11-01,-28.0,-11.0,,-43.0,-30.0,-7.0,-23.0,-10.0,,,,-29.0,,-3.0
