 INDX YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC   ANN
 ------------------------------------------------------------------
  Z1  1881   -48 -14 -21 -12 -11 -68 -56  -9   3 -54 -47   6  -27.6
  Z1  1882   -18   8 999 -61 -53 -98 -31 999 999 999 999 999  999.0
  Z1  1883    15  24  22  -3 -26 -11 -47 999 -57 -30 -61  18  999.0
  Z1  1884   999 999 999  -9 -15 -38  20  -2  11  -7 -24  14  999.0
  Z1  1885     8   6 -10 -23   2  10 -61 -15  -3  14 -34 -16  -10.2
  Z1  1886   -43   0   2   4 -15 -82 -16  39 -33 -34  -3 -10  -15.9
  Z1  1887   -35   7  21 -26-117-123 -34 -76 -47 -57 -50 -60  -49.8
  Z1  1888    -2 -47  25 -30 -93 -58 -68 -86 -81 -20 -61 -37  -46.5
  Z1  1889   -50 -55 -29 -36 100-123 -88 -79 -98 -91-122 -67  -61.5
  Z1  1890   -76-108 -87 -94-137-115-126   5 -40  48   7  31  -57.7
  Z1  1891   -22 -17  32  45 -15 -45 -41  -9 -34  -7  34  11   -5.7
  Z1  1892     8  57  21  32-101  33 -14 -29 -57 -58 -10  21   -8.1
  Z1  1893   -49  14 -13 -13 -18  -7   3  36   0  92 -29 -40   -2.0
  Z1  1894   -16   3   8  25   5 -27  10  15 -37 -40  31   0   -1.9
  Z1  1895    -9 -17  11 -10  -5  10  10   5  24  24  -3-104   -5.3
  Z1  1896    80  24  21  35   2 -17  27  -1 -20  45 143   1   28.3
  Z1  1897    25 -28  11  11  29   6  64 -43  -3  57  62 -13   14.8
  Z1  1898     5  -7  11  29   5 -10  68 -45  20  41  44 -30   10.9
  Z1  1899    32 -38 -20  -2 -26 -32   7 -65   1  17   4 153    2.6
  Z1  1900     2   9  -5   1  -8 -55  47 -32 -27  21  37 -27   -3.1
  Z1  1901    19   3 -16  15  39 -24 -31  -5  11  27  34  -3    5.8
  Z1  1902     8  40  29  22  66 -21  40  -1  14  24  64  12   24.8
  Z1  1903    49  48  42  52  39  44  40 -26 -51 -51 -57   0   10.8
  Z1  1904    12  -3  21  35  90  57  16  53 -33 -58  14  55   21.6
  Z1  1905   -42 -33 -18  20 -38   4  14 -18   5   3  50  19   -2.8
  Z1  1906    29  18   5  73  49  24  34   6 -23  16   3  74   25.7
  Z1  1907     1  27  32  19  -8  -7  22  -7  32  63   0  10   15.3
  Z1  1908    -7 -31 -18  -6  20   2 -20 -24  34 -28 -41 -24  -11.9
  Z1  1909    45 -24 -19  39   3  58 -34 -18 -40 -49 -51 -13   -8.6
  Z1  1910   -23 -24 -36  23   2 -10 -33  28  13  28 -35 -33   -8.3
  Z1  1911   -22 -66 -24 -22 -55 -23 -34 -26 -31   4  44  48  -17.3
  Z1  1912    24   1 -12   9 -14  32 -43   0  43  22  17  -8    5.9
  Z1  1913    26  11  25  -7   3 -15  19 -56  30 -11 -17 -39   -2.6
  Z1  1914    12 -17 -54  26 -59  -1  14 -15 -15  27  45  67    2.5
