time,Z1,Z2,Z3,Z4,Z5,M1,M2,M3,MZ1,MZ2,MZ3,MZ4,ZN,ZS,SET,TPI
1950-01-01,-2.0,-23.0,3.0,17.0,29.0,-9.0,20.0,-29.0,-15.0,-10.0,18.0,-1.0,2.0,0.0,-32.0,-7.0
1950-02-01,16.0,28.0,17.0,16.0,-7.0,26.0,15.0,11.0,-7.0,3.0,18.0,4.0,16.0,0.0,-30.0,11.0
1950-03-01,11.0,11.0,12.0,28.0,-22.0,35.0,35.0,0.0,-10.0,-3.0,37.0,3.0,13.0,-1.0,-12.0,44.0
1950-04-01,-21.0,-4.0,-23.0,-12.0,-36.0,51.0,6.0,44.0,-12.0,-22.0,-2.0,-5.0,-11.0,-12.0,-16.0,95.0
1950-05-01,-21.0,-8.0,-12.0,-49.0,-41.0,-60.0,-46.0,-15.0,17.0,11.0,-46.0,-6.0,-20.0,8.0,-3.0,-5.0
1950-06-01,-1.0,13.0,-4.0,59.0,-59.0,109.0,36.0,73.0,-6.0,-15.0,34.0,8.0,10.0,-15.0,-11.0,79.0
1950-07-01,-12.0,42.0,-11.0,-33.0,-30.0,3.0,24.0,-21.0,-20.0,-18.0,17.0,-6.0,-6.0,-5.0,38.0,111.0
1950-08-01,-2.0,20.0,-3.0,-3.0,-12.0,41.0,22.0,19.0,-5.0,-5.0,18.0,0.0,1.0,-4.0,-4.0,50.0
1950-09-01,-16.0,6.0,-15.0,-44.0,3.0,-43.0,11.0,-54.0,-9.0,-12.0,4.0,-6.0,-12.0,-4.0,15.0,14.0
1950-10-01,-58.0,-43.0,-58.0,-80.0,-16.0,-55.0,-24.0,-31.0,-16.0,-39.0,-50.0,-9.0,-36.0,-22.0,-26.0,-8.0
1950-11-01,-34.0,19.0,-33.0,-41.0,6.0,-7.0,3.0,-10.0,-16.0,-22.0,-13.0,-11.0,-23.0,-11.0,-34.0,-13.0
1950-12-01,10.0,33.0,14.0,12.0,0.0,31.0,19.0,12.0,2.0,9.0,23.0,2.0,9.0,5.0,-4.0,31.0
1951-01-01,-47.0,-35.0,-65.0,-27.0,-21.0,21.0,9.0,11.0,-11.0,-53.0,-8.0,-5.0,-23.0,-42.0,-23.0,45.0
1951-02-01,-9.0,-32.0,-10.0,-30.0,-12.0,-6.0,-32.0,25.0,8.0,-1.0,-34.0,2.0,-6.0,-5.0,-34.0,-8.0
1951-03-01,-19.0,-12.0,-21.0,-41.0,19.0,-41.0,-18.0,-24.0,-11.0,-20.0,-28.0,-1.0,-12.0,-10.0,-16.0,-20.0
1951-04-01,-8.0,-86.0,-11.0,50.0,27.0,19.0,-3.0,21.0,-5.0,-21.0,-3.0,6.0,5.0,-16.0,-49.0,-131.0
1951-05-01,-21.0,-25.0,-25.0,-8.0,26.0,-20.0,5.0,-25.0,-11.0,-24.0,-4.0,-2.0,-11.0,-15.0,-20.0,4.0
1951-06-01,-20.0,-15.0,-28.0,30.0,-78.0,102.0,49.0,53.0,-18.0,-30.0,38.0,-5.0,-9.0,-20.0,-6.0,93.0
1951-07-01,29.0,12.0,41.0,5.0,15.0,-59.0,-22.0,-37.0,16.0,36.0,-10.0,9.0,16.0,24.0,32.0,-24.0
1951-08-01,-17.0,-51.0,-13.0,44.0,-4.0,51.0,30.0,21.0,-20.0,-24.0,20.0,1.0,-2.0,-11.0,-57.0,-55.0
1951-09-01,1.0,29.0,3.0,-22.0,-29.0,-10.0,14.0,-24.0,-7.0,0.0,12.0,-2.0,1.0,1.0,35.0,32.0
1951-10-01,2.0,-37.0,-5.0,51.0,0.0,38.0,16.0,22.0,-5.0,-20.0,16.0,9.0,12.0,-17.0,-2.0,1.0
1951-11-01,47.0,-52.0,52.0,95.0,26.0,35.0,11.0,23.0,14.0,28.0,34.0,16.0,38.0,13.0,7.0,-37.0
1951-12-01,18.0,-21.0,14.0,120.0,17.0,106.0,57.0,48.0,-12.0,-17.0,64.0,12.0,27.0,-14.0,-9.0,-51.0
1952-01-01,40.0,61.0,52.0,70.0,24.0,33.0,26.0,6.0,-5.0,27.0,37.0,10.0,31.0,21.0,8.0,-20.0
1952-02-01,-10.0,11.0,2.0,-37.0,0.0,-35.0,-30.0,-6.0,6.0,16.0,-33.0,-5.0,-13.0,14.0,5.0,33.0
