,Z1,M1
1896-01-01,80.0,32.0
1896-02-01,24.0,8.0
1896-03-01,21.0,-21.0
1896-04-01,35.0,-47.0
1896-05-01,2.0,-12.0
1896-06-01,-17.0,-23.0
1896-07-01,27.0,58.0
1896-08-01,-1.0,29.0
1896-09-01,-20.0,10.0
1896-10-01,45.0,41.0
1896-11-01,143.0,69.0
1896-12-01,1.0,-30.0
1897-01-01,25.0,-67.0
1897-02-01,-28.0,20.0
1897-03-01,11.0,6.0
1897-04-01,11.0,10.0
1897-05-01,29.0,54.0
1897-06-01,6.0,3.0
1897-07-01,64.0,69.0
1897-08-01,-43.0,-20.0
1897-09-01,-3.0,9.0
1897-10-01,57.0,39.0
1897-11-01,62.0,3.0
1897-12-01,-13.0,13.0
1898-01-01,5.0,40.0
1898-02-01,-7.0,45.0
1898-03-01,11.0,-17.0
1898-04-01,29.0,-77.0
1898-05-01,5.0,47.0
1898-06-01,-10.0,-45.0
1898-07-01,68.0,89.0
1898-08-01,-45.0,37.0
1898-09-01,20.0,26.0
1898-10-01,41.0,48.0
1898-11-01,44.0,-86.0
1898-12-01,-30.0,-32.0
1899-01-01,32.0,-14.0
1899-02-01,-38.0,13.0
1899-03-01,-20.0,-44.0
1899-04-01,-2.0,28.0
1899-05-01,-26.0,26.0
1899-06-01,-32.0,-63.0
1899-07-01,7.0,126.0
1899-08-01,-65.0,34.0
1899-09-01,1.0,-4.0
1899-10-01,17.0,62.0
1899-11-01,4.0,-48.0
1899-12-01,153.0,33.0
1900-01-01,2.0,34.0
1900-02-01,9.0,5.0
1900-03-01,-5.0,-62.0
1900-04-01,1.0,-48.0
1900-07-01,47.0,53.0
1900-08-01,-32.0,-2.0
1900-09-01,-27.0,20.0
1900-10-01,21.0,-23.0
1901-01-01,19.0,14.0
1901-02-01,3.0,25.0
1901-03-01,-16.0,-17.0
1901-04-01,15.0,-35.0
1901-06-01,-24.0,109.0
1901-07-01,-31.0,20.0
1901-08-01,-5.0,-87.0
1901-09-01,11.0,-71.0
1901-10-01,27.0,21.0
1901-11-01,34.0,45.0
1901-12-01,-3.0,-7.0
1902-01-01,8.0,-8.0
1902-02-01,40.0,-52.0
1902-03-01,29.0,-5.0
1902-04-01,22.0,57.0
1902-05-01,66.0,125.0
1902-06-01,-21.0,-62.0
1902-07-01,40.0,85.0
1902-08-01,-1.0,40.0
1902-09-01,14.0,114.0
1902-10-01,24.0,45.0
1902-11-01,64.0,39.0
1902-12-01,12.0,44.0
1903-01-01,49.0,37.0
1903-02-01,48.0,-62.0
1903-03-01,42.0,-23.0
1903-04-01,52.0,-58.0
1903-05-01,39.0,7.0
1903-06-01,44.0,17.0
1903-07-01,40.0,-11.0
1903-08-01,-26.0,49.0
1903-10-01,-51.0,-31.0
1903-11-01,-57.0,13.0
1903-12-01,0.0,-12.0
1904-01-01,12.0,7.0
1904-02-01,-3.0,-34.0
1904-03-01,21.0,14.0
1904-04-01,35.0,64.0
1904-05-01,90.0,18.0
1904-06-01,57.0,30.0
1904-07-01,16.0,-32.0
1904-08-01,53.0,26.0
1904-09-01,-33.0,-2.0
1904-10-01,-58.0,35.0
1904-11-01,14.0,0.0
1904-12-01,55.0,30.0
1905-01-01,-42.0,62.0
1905-02-01,-33.0,-49.0
1905-03-01,-18.0,-38.0
1905-04-01,20.0,68.0
1905-05-01,-38.0,-53.0
1905-06-01,4.0,3.0
1905-07-01,14.0,-43.0
1905-08-01,-18.0,-46.0
1905-09-01,5.0,62.0
1905-10-01,3.0,-31.0
1905-11-01,50.0,-12.0
1905-12-01,19.0,23.0
1906-01-01,29.0,27.0
1906-02-01,18.0,73.0
1906-03-01,5.0,57.0
1906-04-01,73.0,-41.0
1906-05-01,49.0,23.0
1906-06-01,24.0,-49.0
1906-07-01,34.0,-17.0
1906-08-01,6.0,-14.0
1906-09-01,-23.0,-24.0
1906-10-01,16.0,-59.0
1906-11-01,3.0,-15.0
1906-12-01,74.0,-17.0
1907-01-01,1.0,-3.0
1907-02-01,27.0,-8.0
1907-03-01,32.0,-52.0
1907-04-01,19.0,-64.0
1907-05-01,-8.0,122.0
